FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Marc,Albrighton,MID,LEI,4900000,0,45,2.3,4.6938775510204106e-07,9.183673469387759e-06,0,64480,3,25,0,0,0,0,0,9.2,884,-6,1,45,6,0.3,0,1.5,2,0,6,0,1,0.7,16103,0,519,0,0,1390,209,-1,0,239,Swansea,Liverpool,Hull City,Arsenal,West Ham,1.4,1.4,2.7,1.2,1.2,2.0,2.7,1.2,1.4,1.8,1.2,2.5,1.2,2.0
Toby,Alderweireld,DEF,TOT,6300000,9,69,4.3,6.82539682539682e-07,1.0952380952381e-05,0,624631,0,7,0,0,0,0,0,11.0,2323,-2,0,69,2,0.9,0,5.5,3,0,9,0,0,9.1,103321,0,598,0,0,1383,5070,0,0,351,Liverpool,Stoke,Everton,Crystal Palace,Southampton,4.7,6.1,5.6,5.0,6.4,2.9,4.2,5.5,6.4,3.0,6.3,4.9,4.5,4.2
Trent,Alexander-Arnold,MID,LIV,4300000,0,3,0.0416666666666667,9.68992248062015e-09,6.976744186046509e-07,0,1439,0,1,0,0,0,0,0,0.7,62,-2,0,3,2,0.1,0,0.5,0,0,0,0,0,0.0,1585,0,0,0,0,91,71,0,0,15,Tottenham,Leicester,Arsenal,Burnley,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5100000,2,85,3.7,7.254901960784309e-07,1.6666666666666698e-05,0,813427,7,34,0,0,0,5,0,16.3,33678,1,1,85,-1,0.4,0,1.8,9,0,5,0,3,10.0,1122012,0,132,0,1,1888,16089,-1,0,382,Crystal Palace,Tottenham,Middlesbrough,Man City,Chelsea,3.5,2.1,4.1,2.5,3.2,3.5,3.0,2.9,4.9,3.4,3.0,2.8,2.9,2.8
Bamidele,Alli,MID,TOT,8900000,3,133,5.8,6.51685393258427e-07,1.49438202247191e-05,0,572307,4,12,0,0,0,11,0,14.9,67575,4,0,133,-4,0.5,0,4.5,12,0,11,0,5,27.3,1258848,0,666,0,3,1801,36311,0,0,391,Liverpool,Stoke,Everton,Crystal Palace,Southampton,3.5,7.7,7.9,6.0,7.9,5.2,5.8,8.7,7.8,6.0,6.2,4.3,7.4,6.3
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,996,0,0,0,0,0,0,0,0.0,93,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2797,0,0,0,0,0,88,0,0,0,Man City,West Brom,Man Utd,West Ham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6700000,8,120,6.3,9.402985074626871e-07,1.7910447761194e-05,0,151493,2,8,0,0,0,4,0,17.9,2716,7,-1,120,-7,1.4,0,9.3,6,0,12,0,3,14.4,713900,0,0,0,2,1630,107584,1,0,439,Burnley,Swansea,West Ham,Watford,Stoke,6.1,8.7,7.8,8.8,7.7,8.5,8.8,7.4,6.7,9.4,7.0,8.9,7.4,8.7
Daniel,Amartey,MID,LEI,4500000,0,44,2.6,5.77777777777778e-07,9.77777777777778e-06,0,24333,3,25,0,0,0,1,0,9.8,612,0,0,44,0,0.0,0,0.0,3,0,4,0,1,0.2,26871,0,23,0,1,1377,81,0,0,207,Swansea,Liverpool,Hull City,Arsenal,West Ham,1.7,1.7,3.2,1.3,1.3,2.4,3.2,1.4,1.8,2.2,1.3,3.0,1.3,2.5
Jordi,Amat,DEF,SWA,4000000,0,20,1.3,3.25e-07,5e-06,0,398114,5,34,0,0,0,0,0,5.0,13871,0,0,20,0,0.0,0,0.0,0,0,2,0,0,9.3,400169,0,63,0,0,1350,5081,0,0,224,Leicester,Chelsea,Burnley,Hull City,Bournemouth,0.7,0.7,1.0,0.8,0.8,0.8,1.0,1.0,0.6,0.9,0.6,0.8,0.6,1.0
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2e-07,9.2e-06,0,16532,3,32,0,0,0,0,0,9.2,187,0,0,46,0,0.0,0,0.0,5,0,2,0,3,0.1,15652,0,74,0,0,1403,16,0,0,185,Man Utd,West Ham,Southampton,Chelsea,Crystal Palace,0.0,1.7,2.4,1.3,1.9,3.1,2.2,1.3,2.2,2.2,1.6,2.0,1.6,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2431,0,0,0,0,0,0,0,0.0,20,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1750,0,0,0,0,0,9,0,0,0,Stoke,Middlesbrough,West Brom,Tottenham,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2686,0,0,0,0,0,0,0,0.0,41,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,929,0,0,0,0,0,9,0,0,0,Bournemouth,Sunderland,Stoke,Liverpool,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4400000,0,37,0.513888888888889,1.1679292929292901e-07,8.40909090909091e-06,0,272179,1,12,0,0,0,3,0,8.4,10243,-1,0,37,1,0.1,0,0.3,5,0,2,0,1,1.4,314954,0,0,0,1,715,875,0,0,131,Southampton,Everton,Man City,Middlesbrough,Burnley,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Michail,Antonio,MID,WHU,7000000,2,113,4.9,7e-07,1.6142857142857097e-05,0,962945,4,34,0,0,0,8,0,16.1,35431,0,0,113,0,0.9,0,6.0,7,0,7,0,6,12.2,1254612,0,452,0,3,1994,36113,0,0,355,West Brom,Watford,Chelsea,Bournemouth,Leicester,5.6,5.7,4.8,4.4,6.9,5.9,3.8,5.6,5.9,5.9,4.8,5.3,4.4,4.7
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6037,0,0,0,0,0,0,0,0.2,12,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,375,0,176,0,0,10,4,0,0,3,Man Utd,West Ham,Southampton,Chelsea,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5607,3,9,0,0,0,0,0,0.0,65,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5154,0,0,0,0,258,39,0,0,34,West Brom,Watford,Chelsea,Bournemouth,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,2,50,2.4,4.615384615384621e-07,9.61538461538462e-06,0,7555,3,25,0,0,0,1,0,9.6,73,-3,0,50,3,0.2,0,0.8,3,0,4,0,2,0.1,4362,0,0,0,1,1458,31,0,0,182,Chelsea,Hull City,Swansea,Liverpool,Sunderland,1.9,1.4,1.2,1.2,1.5,2.1,2.3,1.2,1.2,2.2,1.2,2.3,1.2,1.8
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,28,0,0,0,0,0,0,0,0.0,24,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,118,0,0,0,0,0,82,0,0,0,Man Utd,West Ham,Southampton,Chelsea,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,1,62,3.1,4.36619718309859e-07,8.73239436619718e-06,0,95576,7,23,0,0,0,3,0,8.7,2359,-4,0,62,4,0.8,0,5.8,3,0,6,0,3,1.0,57803,0,528,0,1,1677,6544,0,1,220,Crystal Palace,Tottenham,Middlesbrough,Man City,Chelsea,2.6,1.6,3.2,1.9,2.4,2.7,2.3,2.1,3.9,2.6,2.3,2.1,2.1,2.1
Harry,Arter,MID,BOU,5000000,6,55,2.4,4.8e-07,1.1e-05,0,19004,6,44,0,0,0,1,0,11.0,547,0,0,55,0,0.5,0,2.3,2,0,6,0,2,0.3,20780,0,188,0,0,1956,660,0,1,352,Man City,West Brom,Man Utd,West Ham,Swansea,1.6,1.2,1.5,1.6,2.0,1.2,1.2,1.7,1.2,2.3,1.9,2.1,3.0,1.6
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4371,0,0,0,0,0,0,0,0.0,24,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,595,0,0,0,0,0,19,0,0,0,Hull City,Liverpool,Leicester,West Brom,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0138888888888889,3.1565656565656603e-09,2.2727272727272702e-07,0,593,0,0,0,0,0,0,0,0.2,7,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,509,0,0,0,0,10,5,0,0,3,Southampton,Everton,Man City,Middlesbrough,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125e-07,9.21875e-06,0,892417,1,7,0,0,0,6,0,9.2,2881,-1,0,59,1,0.0,0,0.0,10,0,6,0,1,2.0,869261,0,32,0,1,866,108,0,0,211,Sunderland,Watford,Man Utd,Tottenham,Bournemouth,0.0,0.0,0.0,0.0,0.0,6.4,5.7,4.1,6.1,3.3,6.8,4.7,4.3,5.9
Daniel,Ayala,DEF,MID,4800000,0,20,0.277777777777778,5.78703703703704e-08,4.16666666666667e-06,0,10816,2,5,0,0,0,1,0,4.2,69,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.1,5934,0,0,0,0,390,37,0,0,91,Everton,Crystal Palace,Stoke,Sunderland,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,0,24,0.33333333333333304,4.69483568075117e-08,3.38028169014085e-06,0,275422,0,9,0,0,0,1,0,3.4,197,-4,0,24,4,0.0,0,0.0,0,0,2,0,0,1.0,8389,0,524,0,0,501,61,0,0,60,West Brom,Watford,Chelsea,Bournemouth,Leicester,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jordan,Ayew,FWD,SWA,5000000,0,0,0.0,0.0,0.0,0,299,0,0,0,0,0,0,0,0.0,205,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1525,0,0,0,0,0,929,0,0,0,Leicester,Chelsea,Burnley,Hull City,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar,Azpilicueta,DEF,CHE,6500000,2,114,4.8,7.384615384615379e-07,1.75384615384615e-05,0,427960,3,17,0,0,0,0,0,17.3,31644,5,1,114,-5,0.7,0,4.3,16,0,13,0,2,19.4,676331,0,470,0,1,2160,4714,-1,0,572,Burnley,Swansea,West Ham,Watford,Stoke,4.0,6.1,5.9,6.1,5.7,6.5,6.1,5.6,4.5,7.2,4.7,6.2,5.5,6.0
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1313,0,0,0,0,0,0,0,0.0,34,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,289,0,138,0,0,0,22,0,0,0,Burnley,Swansea,West Ham,Watford,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,6,40,0.555555555555556,1.0482180293501e-07,7.54716981132075e-06,0,512207,3,11,0,0,0,0,0,7.5,996,-2,0,40,2,0.3,0,1.5,7,0,4,0,0,5.9,206205,0,0,0,0,1008,10810,0,0,249,Watford,Bournemouth,Southampton,Middlesbrough,West Brom,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Leighton,Baines,DEF,EVE,5700000,1,87,4.8,8.42105263157895e-07,1.52631578947368e-05,0,489251,2,17,0,0,0,2,0,15.3,20254,2,0,87,-2,0.7,1,3.8,13,0,6,0,3,11.7,621177,0,212,0,1,1604,15854,0,0,371,Middlesbrough,Sunderland,Tottenham,West Brom,Hull City,5.0,6.1,4.6,7.1,7.0,5.6,4.4,6.0,7.0,5.8,6.4,5.4,6.2,5.8
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11700,0,0,0,0,0,0,0,0.0,50,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1831,0,0,0,0,0,28,0,0,0,Tottenham,Leicester,Arsenal,Burnley,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,1,9,0.125,2.55102040816327e-08,1.8367346938775502e-06,0,4426,0,2,0,0,0,0,0,1.8,487,-1,0,9,1,0.2,0,0.8,0,0,0,0,0,0.1,6466,0,0,0,0,84,220,0,0,26,Everton,Crystal Palace,Stoke,Sunderland,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3587,0,0,0,0,0,0,0,0.0,35,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2575,0,0,0,0,0,9,0,0,0,Everton,Crystal Palace,Stoke,Sunderland,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,2,23,0.319444444444444,7.428940568475451e-08,5.34883720930233e-06,0,10013,3,11,0,0,0,0,0,5.3,85,-2,0,23,2,0.2,0,0.8,0,0,2,0,0,0.1,7543,0,107,0,0,841,329,0,0,126,Crystal Palace,Tottenham,Middlesbrough,Man City,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7000000,12,90,4.1,5.85714285714286e-07,1.28571428571429e-05,0,664931,3,22,0,0,0,4,0,12.9,4500,-5,0,90,5,0.9,0,6.5,9,0,5,0,6,7.2,565968,0,654,0,1,1745,44767,0,0,332,Middlesbrough,Sunderland,Tottenham,West Brom,Hull City,3.8,5.8,2.4,4.5,5.8,2.2,3.7,5.6,6.0,2.7,3.9,3.8,5.5,2.6
Ashley,Barnes,FWD,BUR,4500000,8,48,0.666666666666667,1.48148148148148e-07,1.06666666666667e-05,0,94244,3,13,0,0,0,4,0,10.7,10742,0,0,48,0,0.9,0,4.0,5,0,3,0,2,2.9,198440,0,0,0,1,877,19149,0,0,155,Chelsea,Hull City,Swansea,Liverpool,Sunderland,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4
Antonio,Barragan,DEF,MID,4500000,0,57,2.9,6.44444444444444e-07,1.2666666666666699e-05,0,87422,5,21,0,0,0,0,0,12.7,3710,0,0,57,0,0.3,0,1.3,8,0,5,0,0,0.9,102449,0,0,0,0,1721,493,0,0,355,Everton,Crystal Palace,Stoke,Sunderland,Man Utd,0.0,3.2,2.8,2.9,2.2,2.7,2.7,3.5,3.6,2.8,2.9,2.4,3.8,3.1
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,116970,1,23,0,0,0,0,0,6.8,2743,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.8,111618,0,120,0,0,1145,37,0,0,136,Leicester,Chelsea,Burnley,Hull City,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4400000,2,53,2.5,5.68181818181818e-07,1.2045454545454499e-05,0,349452,6,23,0,0,0,2,0,12.0,5527,-1,0,53,1,0.3,0,1.5,3,0,5,0,1,3.8,372233,0,418,0,0,1586,4002,0,0,280,Middlesbrough,Sunderland,Tottenham,West Brom,Hull City,1.7,3.0,1.2,2.2,3.0,1.2,1.7,2.9,3.1,1.2,1.8,1.7,2.7,1.2
Joey,Barton,MID,BUR,4500000,5,15,0.208333333333333,4.6296296296296295e-08,3.3333333333333304e-06,0,4723,0,3,0,0,0,1,0,3.3,800,0,0,15,0,0.8,0,3.8,0,0,1,0,1,0.3,16431,0,0,0,0,216,1463,0,0,69,Chelsea,Hull City,Swansea,Liverpool,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Borja,Baston,FWD,SWA,6700000,1,28,0.38888888888888895,5.80431177446103e-08,4.17910447761194e-06,0,9762,0,11,0,0,0,1,0,4.2,56,-3,0,28,3,0.1,0,0.8,1,0,1,0,2,0.0,6469,0,0,0,0,510,35,0,0,70,Leicester,Chelsea,Burnley,Hull City,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,0,23,1.5,1.7647058823529398e-07,2.70588235294118e-06,0,128858,0,0,0,0,0,1,0,2.7,373,-5,0,23,5,0.1,0,0.8,1,0,0,0,1,0.9,60509,0,0,0,0,106,48,0,0,64,Burnley,Swansea,West Ham,Watford,Stoke,0.8,1.4,0.9,1.2,0.8,1.0,1.2,0.8,0.8,1.3,0.8,1.1,0.8,1.4
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,6107,0,0,0,0,0,0,0,0.0,77,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1508,0,150,0,0,0,25,0,0,0,Burnley,Swansea,West Ham,Watford,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,3,37,1.9,4.2222222222222205e-07,8.22222222222222e-06,0,16371,6,24,0,0,0,0,0,8.2,180,0,0,37,0,0.4,0,2.0,0,0,5,0,0,0.2,12471,0,127,0,0,1553,136,0,0,191,Man Utd,West Ham,Southampton,Chelsea,Crystal Palace,0.0,1.0,1.5,1.0,1.1,2.0,1.4,1.0,1.3,1.3,1.0,1.2,1.0,1.1
Hector,Bellerin,DEF,ARS,6500000,1,72,3.8,5.84615384615385e-07,1.10769230769231e-05,0,976640,1,21,0,0,0,0,0,11.1,24194,0,0,72,0,0.1,0,0.5,10,0,6,0,3,14.1,363437,0,541,0,1,1524,571,0,0,329,Hull City,Liverpool,Leicester,West Brom,Man City,0.0,0.0,4.6,4.1,4.1,4.3,5.3,4.8,3.8,4.2,3.5,3.4,4.3,4.3
Yohan,Benalouane,DEF,LEI,4000000,0,0,0.0,0.0,0.0,0,8121,0,0,0,0,0,0,0,0.0,41,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,1622,0,15,0,0,0,90,0,0,0,Swansea,Liverpool,Hull City,Arsenal,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4280,0,0,0,0,0,0,0,0.0,14,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,502,0,29,0,0,0,8,0,0,0,Liverpool,Stoke,Everton,Crystal Palace,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,1,8,0.111111111111111,1.85185185185185e-08,1.33333333333333e-06,0,49141,1,2,0,0,0,0,0,1.3,3087,-5,0,8,5,0.1,0,0.5,0,0,2,0,0,0.7,26698,0,226,0,0,300,2157,0,0,2,Crystal Palace,Tottenham,Middlesbrough,Man City,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,86,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,41,0,55,0,0,0,4,0,0,0,Man Utd,West Ham,Southampton,Chelsea,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,2,10,0.138888888888889,3.2299741602067205e-08,2.32558139534884e-06,0,1117,2,7,0,0,0,0,0,2.3,68,-2,0,10,2,0.5,0,2.3,0,0,1,0,0,0.0,1550,0,0,0,0,450,213,0,0,74,Everton,Crystal Palace,Stoke,Sunderland,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ryan,Bertrand,DEF,SOU,5400000,1,68,4.3,7.96296296296296e-07,1.25925925925926e-05,0,70274,2,20,0,0,0,1,0,12.6,3330,-1,0,68,1,0.7,0,4.0,6,0,7,0,2,1.5,90622,0,415,0,1,1427,4369,0,0,305,Sunderland,Watford,Man Utd,Tottenham,Bournemouth,3.5,0.0,3.8,4.4,3.8,6.3,5.7,4.4,5.4,4.0,6.1,4.9,4.1,6.0
