FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marc,Albrighton,MID,LEI,5600000,1,86,3.4,6.071428571428571e-07,1.5357142857142903e-05,0,263543,4,27,0,0,0,2,0,15.4,16780,1,0,86,-1,0.4,0,2.3,11,0,6,0,6,3.9,373467,0,0,0,2,1837,19171,0,0,346,Swansea,Man City,Stoke,Bournemouth,West Brom,3.7,1.8,3.6,3.7,2.8,4.0,2.5,3.7,2.7,3.4,2.5,3.9,2.1,115.1
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.52,2.62068965517241e-07,6.55172413793103e-06,0,647007,3,7,0,0,0,0,0,6.6,1353,-2,0,38,2,0.0,0,0.0,3,0,5,0,0,4.6,161333,0,0,0,0,900,278,0,0,200,Liverpool,Arsenal,Crystal Palace,Huddersfield,Bournemouth,0.0,1.5,1.5,1.3,0.8,1.0,0.9,0.9,0.9,0.9,1.3,0.8,1.1,27.7
Trent,Alexander-Arnold,DEF,LIV,4200000,0,36,1.44,3.42857142857143e-07,8.571428571428571e-06,0,261871,2,10,0,0,0,1,0,8.6,14119,-3,0,36,3,0.0,0,0.0,4,0,3,0,1,2.7,276092,0,0,0,1,709,3316,0,0,177,Tottenham,Southampton,West Ham,Newcastle,Man Utd,1.0,0.9,1.3,0.9,0.7,1.2,1.4,0.7,0.9,0.7,1.2,0.8,1.3,46.9
Joe,Allen,MID,STK,5100000,3,77,3.3,6.47058823529412e-07,1.5098039215686301e-05,0,201885,5,38,0,0,0,2,0,15.1,6510,-4,0,77,4,1.0,0,5.3,10,0,4,0,4,2.1,105259,0,0,0,2,2052,8576,0,0,367,Bournemouth,Brighton,Leicester,Southampton,Man City,2.8,3.5,2.4,2.7,2.2,4.2,2.1,2.9,2.6,3.2,1.8,3.4,2.8,108.6
Bamidele,Alli,MID,TOT,8900000,5,115,4.8,5.393258426966289e-07,1.29213483146067e-05,0,2039044,4,20,0,0,0,5,0,12.8,21937,-6,1,115,6,0.4,0,3.8,7,0,10,0,10,12.6,971078,0,0,0,2,2011,8471,-1,0,345,Liverpool,Arsenal,Crystal Palace,Huddersfield,Bournemouth,3.5,6.4,4.3,6.7,5.1,6.0,4.3,4.4,4.0,4.3,5.3,4.8,5.9,176.1
Marcos,Alonso,DEF,CHE,7400000,1,138,5.5,7.43243243243243e-07,1.86486486486487e-05,0,1022464,5,19,0,0,0,6,0,18.6,34671,4,-1,138,-4,0.7,0,5.0,13,0,12,0,1,26.7,1528024,0,0,0,4,2143,20498,1,0,525,Watford,West Brom,Man Utd,Man City,Crystal Palace,7.4,7.5,5.9,6.0,7.8,7.1,7.2,7.8,7.2,7.9,6.2,7.5,6.3,163.0
Daniel,Amartey,MID,LEI,4300000,2,12,0.48,1.1162790697674401e-07,2.7906976744186e-06,0,20468,0,7,0,0,0,0,0,2.8,951,-2,0,12,2,0.6,0,2.7,0,0,3,0,0,0.3,21902,0,0,0,0,467,4120,0,1,50,Swansea,Man City,Stoke,Bournemouth,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.4
Ethan,Ampadu,MID,CHE,4500000,0,1,0.04,8.888888888888892e-09,2.22222222222222e-07,0,534,0,1,0,0,0,0,0,0.2,19,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,664,0,0,0,0,10,32,0,0,6,Watford,West Brom,Man Utd,Man City,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,7626,0,3,0,0,0,0,0,1.2,6,0,0,6,0,0.0,0,0.0,0,0,1,0,0,0.0,3625,0,0,0,0,198,0,0,0,11,Chelsea,West Ham,Everton,West Brom,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,48804,0,0,0,0,0,0,0,0.0,910,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,59344,0,0,0,0,0,119,0,0,0,Newcastle,Everton,Tottenham,Man Utd,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Andre Ayew,MID,SWA,6800000,0,47,1.88,2.7647058823529395e-07,6.91176470588235e-06,0,98182,2,25,0,0,0,3,0,6.9,782,-2,0,47,2,0.1,1,0.5,2,0,1,0,2,1.0,47911,0,0,0,0,886,983,0,0,161,Leicester,Burnley,Brighton,West Ham,Huddersfield,0.0,1.3,1.0,1.5,1.1,1.3,0.9,1.1,1.8,0.9,1.1,1.2,1.4,47.9
Michail,Antonio,MID,WHU,7400000,0,40,1.6,2.1621621621621598e-07,5.40540540540541e-06,0,82933,1,16,0,0,0,1,0,5.4,177,-1,0,40,1,0.0,0,0.0,1,0,6,0,1,0.2,78517,0,0,0,0,1061,237,0,0,94,Brighton,Watford,Liverpool,Swansea,Burnley,0.0,0.9,0.8,0.8,1.0,0.9,1.0,0.8,1.1,0.8,0.8,0.8,1.5,61.7
Scott,Arfield,MID,BUR,4900000,1,55,2.2,4.4897959183673497e-07,1.12244897959184e-05,0,38079,3,14,0,0,0,2,0,11.2,942,-1,0,55,1,0.2,0,1.0,6,0,6,0,2,0.3,47718,0,0,0,2,1314,151,0,0,181,Man City,Swansea,Southampton,Everton,West Ham,1.1,1.6,1.6,2.3,1.5,1.4,1.5,1.5,1.7,1.3,1.8,1.2,1.8,59.2
Marko,Arnautovic,MID,WHU,6900000,0,80,4.2,6.08695652173913e-07,1.15942028985507e-05,0,818032,2,28,0,0,0,6,0,11.6,133281,-1,1,80,1,0.8,0,5.3,7,0,3,0,4,4.3,950074,0,0,0,2,1267,661,-1,1,247,Brighton,Watford,Liverpool,Swansea,Burnley,0.0,0.0,2.7,4.0,4.6,4.1,4.7,3.4,4.9,3.2,3.3,3.5,5.8,124.7
Harry,Arter,MID,BOU,4700000,0,27,1.08,2.29787234042553e-07,5.74468085106383e-06,0,39817,4,13,0,0,0,1,0,5.7,243,-3,0,27,3,0.0,0,0.0,0,0,3,0,0,0.3,13174,0,0,0,0,959,180,0,0,156,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,29.2
Christian,Atsu,MID,NEW,4800000,3,70,3.3,6.875e-07,1.4583333333333301e-05,0,486173,1,17,0,0,0,2,0,14.6,7040,-2,0,70,2,0.5,0,2.3,5,0,6,0,4,1.9,443904,0,0,0,1,1560,2926,0,0,206,Crystal Palace,Man Utd,Bournemouth,Liverpool,Southampton,2.6,2.6,3.1,2.0,3.1,2.2,3.9,2.6,3.6,3.3,3.7,2.8,2.7,96.5
Pierre-Emerick,Aubameyang,FWD,ARS,10500000,0,0,0.0,0.0,0.0,0,10826,0,0,0,0,0,0,0,0.0,10826,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1.6,103360,0,0,0,0,0,103360,0,0,0,Everton,Tottenham,Man City,Brighton,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serge,Aurier,DEF,TOT,5900000,0,48,1.92,3.25423728813559e-07,8.13559322033898e-06,0,79637,0,10,0,0,0,1,0,8.1,5789,-1,0,48,1,0.6,0,3.5,6,0,4,0,1,0.6,96328,0,0,0,2,977,80,0,1,214,Liverpool,Arsenal,Crystal Palace,Huddersfield,Bournemouth,0.0,2.1,2.2,1.9,1.1,1.4,1.3,1.3,1.3,1.4,1.8,1.1,1.5,53.8
Charlie,Austin,FWD,SOU,5900000,0,53,2.12,3.59322033898305e-07,8.98305084745763e-06,0,439555,1,10,0,0,0,6,0,9.0,3617,-6,0,53,6,0.0,0,0.0,9,0,1,0,0,0.7,399472,0,0,0,1,596,89,0,0,163,West Brom,Liverpool,Burnley,Stoke,Newcastle,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.1,1.2,1.6,1.8,1.5,1.6,69.5
Cesar,Azpilicueta,DEF,CHE,7000000,1,128,5.3,7.57142857142857e-07,1.82857142857143e-05,0,781968,1,19,0,0,0,1,0,18.3,35768,5,0,128,-5,0.7,0,4.7,16,0,12,0,6,22.5,1279500,1,0,0,3,2160,10701,0,0,619,Watford,West Brom,Man Utd,Man City,Crystal Palace,7.1,7.1,5.6,5.7,7.5,6.8,6.8,7.5,6.9,7.5,5.9,7.2,6.0,109.0
Daniel,Bachmann,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,2599,0,0,0,0,0,0,0,0.0,177,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,6938,0,0,0,0,0,251,0,0,0,Chelsea,West Ham,Everton,West Brom,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Badou Ndiaye,MID,STK,5500000,0,0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,0,0.0,39,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,538,0,0,0,0,0,538,0,0,0,Bournemouth,Brighton,Leicester,Southampton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,6000000,0,46,1.84,3.06666666666667e-07,7.66666666666667e-06,0,869645,2,3,0,0,0,1,0,7.7,1939,0,0,46,0,0.0,0,0.0,3,0,6,0,0,5.5,580858,0,0,0,1,720,28,0,0,198,Huddersfield,Newcastle,Chelsea,Crystal Palace,Liverpool,0.0,0.0,0.0,0.0,0.0,1.3,1.4,0.9,1.7,0.9,2.1,1.2,1.8,28.3
Leighton,Baines,DEF,EVE,5600000,0,36,1.44,2.57142857142857e-07,6.42857142857143e-06,0,429530,1,25,0,0,0,2,0,6.4,1449,-4,0,36,4,0.0,0,0.0,2,0,1,0,1,2.9,65189,0,0,0,1,1099,26,0,0,189,Arsenal,Crystal Palace,Watford,Burnley,Brighton,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.1,0.7,0.9,0.7,1.1,0.9,51.0
Tiemoue,Bakayoko,MID,CHE,5000000,2,69,3.0,6e-07,1.3800000000000002e-05,0,301333,2,15,0,0,0,2,0,13.8,7305,0,0,69,0,0.5,0,2.7,5,0,9,0,2,2.1,356835,0,0,0,1,1730,2874,0,0,309,Watford,West Brom,Man Utd,Man City,Crystal Palace,2.5,3.2,1.6,1.6,2.7,2.4,2.3,3.0,2.5,3.4,2.6,2.2,2.7,100.0
Sam,Baldock,FWD,BHA,4900000,0,1,0.04,8.16326530612245e-09,2.04081632653061e-07,0,2398,0,0,0,0,0,0,0,0.2,92,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.0,2012,0,0,0,0,24,86,0,0,1,West Ham,Stoke,Swansea,Arsenal,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Beni,Baningime,MID,EVE,4500000,0,5,0.2,4.444444444444441e-08,1.11111111111111e-06,0,369,0,1,0,0,0,0,0,1.1,17,0,0,5,0,0.0,0,0.0,0,0,0,0,0,0.0,482,0,0,0,0,145,20,0,0,17,Arsenal,Crystal Palace,Watford,Burnley,Brighton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Phil,Bardsley,DEF,BUR,4300000,2,32,1.28,2.97674418604651e-07,7.44186046511628e-06,0,28319,5,12,0,0,0,0,0,7.4,3034,-2,0,32,2,0.3,0,1.3,0,0,4,0,0,1.1,78542,0,0,0,0,1080,4280,0,0,186,Man City,Swansea,Southampton,Everton,West Ham,0.6,0.6,0.9,0.7,0.8,0.8,0.6,0.9,0.7,0.7,1.1,0.6,0.7,37.9
Ross,Barkley,MID,CHE,7300000,1,1,0.04,5.47945205479452e-09,1.36986301369863e-07,0,12272,0,1,0,0,0,0,0,0.1,868,-2,0,1,2,0.0,0,0.3,0,0,0,0,0,0.2,5177,0,0,0,0,53,688,0,0,4,Watford,West Brom,Man Utd,Man City,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
Ashley,Barnes,FWD,BUR,5200000,1,43,1.8,3.46153846153846e-07,8.26923076923077e-06,0,86951,5,12,0,0,0,3,0,8.3,7744,-3,0,43,3,0.3,0,1.7,2,0,3,0,0,1.0,91714,0,0,0,0,1164,1750,0,0,121,Man City,Swansea,Southampton,Everton,West Ham,1.2,1.1,1.5,1.5,1.1,0.9,1.1,1.3,1.5,1.4,1.6,0.9,1.4,73.5
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,265,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,50,0,0,0,0,0,1,0,0,0,Leicester,Burnley,Brighton,West Ham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,WBA,4500000,1,51,2.3,5.11111111111111e-07,1.1333333333333302e-05,0,121857,3,27,0,0,0,1,0,11.3,1200,0,0,51,0,0.4,0,2.0,0,0,4,0,2,0.9,68051,0,0,0,0,1684,1457,0,0,264,Southampton,Chelsea,Huddersfield,Watford,Leicester,1.9,1.2,2.5,1.4,2.0,1.5,1.9,2.1,1.2,1.6,1.5,1.7,1.2,78.1
Kyle,Bartley,DEF,SWA,4300000,0,4,0.16,3.72093023255814e-08,9.30232558139535e-07,0,5500,1,2,0,0,0,0,0,0.9,31,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0.0,1089,0,0,0,0,165,33,0,0,24,Leicester,Burnley,Brighton,West Ham,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.5925925925925896e-07,3.08641975308642e-06,0,178225,0,7,0,0,0,2,0,3.1,8369,-4,0,25,4,0.2,0,1.7,3,0,1,0,1,0.6,121594,1,0,0,1,351,197,0,0,77,Watford,West Brom,Man Utd,Man City,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7
Moritz,Bauer,DEF,STK,4500000,5,11,0.44,9.777777777777779e-08,2.44444444444444e-06,0,2784,2,3,0,0,0,0,0,2.4,1079,0,0,11,0,0.8,0,3.7,0,0,2,0,0,0.4,25628,0,0,0,0,270,7975,0,0,58,Bournemouth,Brighton,Leicester,Southampton,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,11.0
Jan,Bednarek,DEF,SOU,4100000,0,0,0.0,0.0,0.0,0,9185,0,0,0,0,0,0,0,0.0,90,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,2143,0,0,0,0,0,80,0,0,0,West Brom,Liverpool,Burnley,Stoke,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir,Begovic,GLK,BOU,4500000,7,81,3.2,7.11111111111111e-07,1.8e-05,0,221039,2,36,0,73,0,0,0,18.0,3527,0,0,81,0,0.9,0,4.0,4,0,5,0,0,4.1,157140,0,0,1,3,2250,13938,0,0,426,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,3.8,2.9,3.0,2.6,3.4,3.6,3.7,4.6,3.0,3.4,3.3,3.1,3.3,54.3
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,9903,0,0,0,0,0,0,0,0.0,14,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,635,0,0,0,0,0,0,0,0,0,Chelsea,West Ham,Everton,West Brom,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hector,Bellerin,DEF,ARS,6100000,0,95,3.8,6.22950819672131e-07,1.5573770491803302e-05,0,695859,4,34,0,0,0,2,0,15.6,49463,1,0,95,-1,0.5,0,3.3,7,0,9,0,2,12.3,611642,0,0,0,1,2250,5662,0,0,466,Everton,Tottenham,Man City,Brighton,Watford,4.4,2.9,4.2,3.5,5.2,2.7,5.2,5.0,2.9,5.6,2.6,5.0,3.0,126.2
Yohan,Benalouane,DEF,LEI,4200000,0,0,0.0,0.0,0.0,0,3378,0,0,0,0,0,0,0,0.0,43,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1325,0,0,0,0,0,53,0,0,0,Swansea,Man City,Stoke,Bournemouth,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,7600000,8,54,2.8,3.6842105263157896e-07,7.10526315789474e-06,0,426293,5,24,0,0,0,2,0,7.1,3557,-4,0,54,4,0.8,1,6.0,5,0,5,0,4,2.5,110667,0,0,0,0,1568,13751,0,0,94,Newcastle,Everton,Tottenham,Man Utd,Chelsea,2.9,2.1,2.6,2.8,1.6,2.2,2.6,2.4,3.2,2.5,3.1,2.6,3.2,102.2
Saido,Berahino,FWD,STK,5600000,1,16,0.64,1.1428571428571401e-07,2.8571428571428602e-06,0,34252,0,9,0,0,0,0,0,2.9,224,-4,0,16,4,0.1,1,0.3,0,0,2,0,1,0.2,14183,0,0,0,0,388,103,0,0,34,Bournemouth,Brighton,Leicester,Southampton,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.8
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,236,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,38,0,0,0,0,0,1,0,0,0,Chelsea,West Ham,Everton,West Brom,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo Silva,MID,MCI,7400000,3,57,2.28,3.0810810810810797e-07,7.702702702702701e-06,0,112331,0,4,0,0,0,2,0,7.7,3576,-6,0,57,6,0.4,0,3.3,0,0,5,0,4,0.9,54181,0,0,0,0,764,10830,0,0,241,Burnley,Leicester,Arsenal,Chelsea,Stoke,1.5,1.8,1.3,1.5,1.5,1.9,1.9,1.4,1.2,1.9,1.6,2.3,1.6,79.9
Ryan,Bertrand,DEF,SOU,5300000,2,66,3.0,5.66037735849057e-07,1.2452830188679199e-05,0,771475,0,30,0,0,0,0,0,12.5,4317,-2,0,66,2,0.5,0,2.7,4,0,4,0,4,4.6,290029,0,0,0,1,1975,2379,0,0,384,West Brom,Liverpool,Burnley,Stoke,Newcastle,2.5,3.2,3.0,3.4,2.5,2.5,3.2,2.6,3.0,2.4,2.7,2.1,2.5,95.1
Muhamed,Besic,MID,EVE,4200000,0,2,1.0,2.38095238095238e-07,4.76190476190476e-07,0,13800,0,0,0,0,0,0,0,0.5,491,-3,0,2,3,0.0,0,0.0,0,0,0,0,0,0.2,11249,0,0,0,0,46,447,0,0,10,Arsenal,Crystal Palace,Watford,Burnley,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Philip,Billing,MID,HUD,4400000,2,14,0.56,1.27272727272727e-07,3.18181818181818e-06,0,37787,2,8,0,0,0,0,0,3.2,99,-1,0,14,1,0.2,0,0.7,0,0,3,0,0,0.2,31796,0,0,0,0,510,68,0,0,62,Man Utd,Bournemouth,West Brom,Tottenham,Swansea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,13.2
Daley,Blind,DEF,MUN,5100000,0,20,0.8,1.56862745098039e-07,3.92156862745098e-06,0,186307,0,0,0,0,0,0,0,3.9,710,-4,0,20,4,0.0,0,0.0,0,0,3,0,0,0.9,135640,0,0,0,0,274,19,0,0,88,Huddersfield,Newcastle,Chelsea,Crystal Palace,Liverpool,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.5,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,983,0,0,0,0,0,0,0,0.2,3,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,540,0,0,0,0,17,1,0,0,1,Watford,West Brom,Man Utd,Man City,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6561,0,1,0,0,0,0,0,0.4,6,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1877,0,0,0,0,71,1,0,0,5,Bournemouth,Brighton,Leicester,Southampton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,0,8,0.32,5e-08,1.25e-06,0,7617,0,4,0,0,0,0,0,1.3,722,-1,0,8,1,0.1,0,0.7,0,0,1,0,0,0.1,5470,0,0,0,0,241,170,0,0,17,Arsenal,Crystal Palace,Watford,Burnley,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6.7
