FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Daniel,Amartey,MID,LEI,4500000,0,44,2.6,5.77777777777778e-07,9.77777777777778e-06,0,22914,3,25,0,0,0,1,0,9.8,1299,0,0,44,0,0.2,0,1.0,3,0,4,0,1,0.2,26772,0,23,0,1,1377,39,0,0,207,Burnley,Man Utd,Swansea,Liverpool,Hull City,0.0,2.3,1.7,1.7,3.3,1.3,1.3,2.3,3.4,1.4,1.6,2.2,1.3,2.9,1.3,2.6
Jordi,Amat,DEF,SWA,4100000,0,20,1.3,3.17073170731707e-07,4.8780487804877996e-06,0,367735,5,34,0,0,0,0,0,4.9,21287,1,0,20,-1,0.0,0,0.0,0,0,2,0,0,9.9,393026,0,63,0,0,1350,1834,0,0,224,Southampton,Man City,Leicester,Chelsea,Burnley,1.2,0.7,0.7,0.7,1.0,0.8,0.8,0.8,0.9,1.0,0.7,0.9,0.6,0.8,0.6,1.0
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2e-07,9.2e-06,0,16136,3,32,0,0,0,0,0,9.2,339,0,0,46,0,0.0,0,0.0,5,0,2,0,3,0.1,15616,0,74,0,0,1403,20,0,0,185,Arsenal,Burnley,Man Utd,West Ham,Southampton,1.3,3.2,1.8,1.8,2.4,1.3,1.8,3.3,2.2,1.3,2.2,2.3,1.6,1.9,1.6,1.9
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2403,0,0,0,0,0,0,0,0.0,28,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1733,0,0,0,0,0,15,0,0,0,Bournemouth,Sunderland,Stoke,Middlesbrough,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2625,0,0,0,0,0,0,0,0.0,33,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,916,0,0,0,0,0,5,0,0,0,West Ham,Swansea,Bournemouth,Sunderland,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4500000,1,37,3.4,7.555555555555559e-07,8.22222222222222e-06,0,250393,1,12,0,0,0,3,0,8.2,16675,0,0,37,0,0.1,0,0.3,5,0,2,0,1,1.8,313578,0,0,0,1,715,623,0,0,131,Tottenham,Crystal Palace,Southampton,Everton,Man City,0.0,0.0,0.0,0.0,0.0,2.7,4.9,2.8,3.0,3.7,4.2,2.7,4.4,3.8,4.5,2.0
Michail,Antonio,MID,WHU,6900000,5,109,5.2,7.53623188405797e-07,1.57971014492754e-05,0,901303,4,29,0,0,0,8,0,15.8,19590,-1,0,109,1,1.1,0,7.3,7,0,7,0,6,12.3,1197973,0,452,0,3,1814,55031,0,0,340,Man City,Southampton,West Brom,Watford,Chelsea,5.6,4.5,6.2,5.7,5.4,4.6,7.6,6.2,3.9,6.2,6.0,6.6,5.0,5.9,4.8,4.9
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6009,0,0,0,0,0,0,0,0.2,23,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,369,0,176,0,0,10,3,0,0,3,Arsenal,Burnley,Man Utd,West Ham,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5485,3,9,0,0,0,0,0,0.0,84,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5092,0,0,0,0,258,35,0,0,34,Man City,Southampton,West Brom,Watford,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,0,47,2.5,4.807692307692311e-07,9.03846153846154e-06,0,7413,3,23,0,0,0,1,0,9.0,147,-3,0,47,3,0.1,0,0.7,3,0,4,0,2,0.1,4309,0,0,0,1,1325,65,0,0,166,Leicester,Watford,Chelsea,Hull City,Swansea,3.1,1.4,2.0,1.7,1.3,1.2,1.6,2.2,2.3,1.4,1.2,2.4,1.2,2.4,1.2,2.0
Marko,Arnautovic,MID,STK,7100000,2,56,3.1,4.36619718309859e-07,7.88732394366197e-06,0,92003,6,21,0,0,0,3,0,7.9,1125,-4,0,56,4,0.9,0,6.7,3,0,6,0,2,0.8,46692,0,528,0,1,1499,3395,0,1,199,Everton,West Brom,Crystal Palace,Tottenham,Middlesbrough,3.0,2.0,2.7,1.6,3.1,1.9,2.3,2.7,2.3,2.0,3.9,2.7,2.3,2.1,2.0,2.0
Harry,Arter,MID,BOU,5000000,0,48,2.3,4.6e-07,9.6e-06,0,17686,5,37,0,0,0,0,0,9.6,908,0,0,48,0,0.2,0,1.0,2,0,6,0,2,0.3,19997,0,188,0,0,1843,316,0,1,316,Crystal Palace,Everton,Man City,West Brom,Man Utd,1.8,1.2,1.6,1.2,1.3,1.6,1.9,1.2,1.2,1.6,1.2,2.2,1.7,1.9,2.8,1.4
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4334,0,0,0,0,0,0,0,0.0,17,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,564,0,0,0,0,0,6,0,0,0,Watford,Chelsea,Hull City,Liverpool,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0151515151515152,3.4435261707989e-09,2.2727272727272702e-07,0,578,0,0,0,0,0,0,0,0.2,9,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,498,0,0,0,0,10,9,0,0,3,Tottenham,Crystal Palace,Southampton,Everton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125e-07,9.21875e-06,0,887507,1,7,0,0,0,6,0,9.2,4049,-1,0,59,1,0.0,0,0.0,10,0,6,0,1,2.1,869017,0,32,0,1,866,229,0,0,211,Swansea,West Ham,Sunderland,Watford,Man Utd,0.0,0.0,0.0,0.0,0.0,5.5,3.6,6.4,6.0,4.1,6.3,3.2,6.7,4.6,4.2,5.8
Daniel,Ayala,DEF,MID,4800000,0,20,0.303030303030303,6.313131313131309e-08,4.16666666666667e-06,0,10673,2,5,0,0,0,1,0,4.2,89,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.1,5877,0,0,0,0,390,49,0,0,91,West Brom,Tottenham,Everton,Crystal Palace,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andre,Ayew,MID,WHU,7100000,0,24,0.36363636363636404,5.12163892445583e-08,3.38028169014085e-06,0,275081,0,9,0,0,0,1,0,3.4,237,-4,0,24,4,0.0,0,0.3,0,0,2,0,0,1.0,8296,0,524,0,0,501,26,0,0,60,Man City,Southampton,West Brom,Watford,Chelsea,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Cesar,Azpilicueta,DEF,CHE,6600000,7,110,5.0,7.575757575757579e-07,1.6666666666666698e-05,0,381281,3,15,0,0,0,0,0,16.7,22866,6,0,110,-6,0.7,0,4.7,16,0,13,0,2,20.3,667351,0,470,0,1,1980,4912,0,0,537,Liverpool,Arsenal,Burnley,Swansea,West Ham,6.0,7.0,4.4,6.2,6.0,6.7,6.2,6.9,6.7,5.8,4.6,7.5,5.1,6.5,5.8,6.5
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1261,0,0,0,0,0,0,0,0.0,34,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,251,0,138,0,0,0,15,0,0,0,Liverpool,Arsenal,Burnley,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,0,34,0.515151515151515,9.71983990851915e-08,6.41509433962264e-06,0,510533,3,11,0,0,0,0,0,6.4,2352,-2,0,34,2,0.0,0,0.0,7,0,3,0,0,5.7,194193,0,0,0,0,918,600,0,0,216,Hull City,Leicester,Watford,Bournemouth,Southampton,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Leighton,Baines,DEF,EVE,5600000,6,84,5.3,9.46428571428571e-07,1.4999999999999999e-05,0,461037,2,13,0,0,0,2,0,15.0,8260,1,0,84,-1,1.6,1,9.0,13,0,6,0,3,11.3,575628,0,212,0,1,1424,41454,0,0,343,Stoke,Bournemouth,Middlesbrough,Sunderland,Tottenham,6.4,8.0,5.9,7.2,5.4,7.9,7.8,6.2,4.9,6.8,7.9,6.2,7.2,6.1,7.4,6.5
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11621,0,0,0,0,0,0,0,0.0,59,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1786,0,0,0,0,0,23,0,0,0,Chelsea,Hull City,Tottenham,Leicester,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,1,7,0.106060606060606,2.16450216450216e-08,1.4285714285714301e-06,0,3503,0,2,0,0,0,0,0,1.4,271,-1,0,7,1,0.1,0,0.7,0,0,0,0,0,0.1,5847,0,0,0,0,50,808,0,0,17,West Brom,Tottenham,Everton,Crystal Palace,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3531,0,0,0,0,0,0,0,0.0,26,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2556,0,0,0,0,0,14,0,0,0,West Brom,Tottenham,Everton,Crystal Palace,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,0,20,0.303030303030303,7.04721634954193e-08,4.65116279069767e-06,0,9859,2,9,0,0,0,0,0,4.7,119,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.1,7109,0,107,0,0,661,57,0,0,105,Everton,West Brom,Crystal Palace,Tottenham,Middlesbrough,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7000000,3,76,3.8,5.428571428571429e-07,1.08571428571429e-05,0,655188,3,18,0,0,0,3,0,10.9,5183,-5,0,76,5,0.7,0,5.0,7,0,5,0,5,6.2,514140,0,654,0,0,1565,10764,0,0,266,Stoke,Bournemouth,Middlesbrough,Sunderland,Tottenham,3.0,4.4,3.5,5.5,2.1,4.0,5.3,1.9,3.3,5.1,5.4,2.2,3.4,3.4,4.8,2.2
Ashley,Barnes,FWD,BUR,4500000,4,38,0.575757575757576,1.27946127946128e-07,8.444444444444439e-06,0,75785,3,11,0,0,0,3,0,8.4,7340,0,0,38,0,0.6,0,2.7,3,0,2,0,2,2.6,168460,0,0,0,1,709,15630,0,0,122,Leicester,Watford,Chelsea,Hull City,Swansea,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4500000,0,52,2.7,6e-07,1.15555555555556e-05,0,82296,5,20,0,0,0,0,0,11.6,6075,0,0,52,0,0.1,0,0.3,5,0,5,0,0,1.0,99983,0,0,0,0,1631,169,0,0,327,West Brom,Tottenham,Everton,Crystal Palace,Stoke,0.0,2.0,2.7,2.8,2.7,2.6,2.0,2.4,2.5,3.1,3.3,2.4,2.8,2.1,3.6,2.8
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,111075,1,23,0,0,0,0,0,6.8,3325,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.9,111558,0,120,0,0,1145,82,0,0,136,Southampton,Man City,Leicester,Chelsea,Burnley,0.0,1.5,1.9,1.0,2.0,1.9,1.3,1.4,1.5,1.3,1.3,1.4,1.3,1.3,1.7,1.5
Gareth,Barry,MID,EVE,4500000,1,51,2.5,5.55555555555556e-07,1.1333333333333302e-05,0,337899,6,21,0,0,0,2,0,11.3,6791,0,0,51,0,0.4,0,1.7,3,0,5,0,1,4.0,365696,0,418,0,0,1507,2353,0,0,261,Stoke,Bournemouth,Middlesbrough,Sunderland,Tottenham,1.5,2.4,1.8,3.2,1.2,2.1,3.0,1.2,1.7,2.9,3.1,1.2,1.7,1.8,2.7,1.2
Joey,Barton,MID,BUR,4500000,1,7,0.106060606060606,2.3569023569023597e-08,1.55555555555556e-06,0,3055,0,1,0,0,0,1,0,1.6,1273,0,0,7,0,0.8,0,3.5,0,0,0,0,0,0.3,14017,0,0,0,0,36,1478,0,0,32,Leicester,Watford,Chelsea,Hull City,Swansea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Borja,Baston,FWD,SWA,6700000,1,27,0.409090909090909,6.10583446404342e-08,4.02985074626866e-06,0,9649,0,10,0,0,0,1,0,4.0,50,-3,0,27,3,0.1,0,0.7,1,0,1,0,2,0.0,6413,0,0,0,0,502,22,0,0,68,Southampton,Man City,Leicester,Chelsea,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,1,22,1.6,1.8823529411764697e-07,2.58823529411765e-06,0,128183,0,0,0,0,0,1,0,2.6,698,-5,0,22,5,0.1,0,1.0,1,0,0,0,1,0.9,60412,0,0,0,0,105,47,0,0,61,Liverpool,Arsenal,Burnley,Swansea,West Ham,1.0,1.1,0.8,1.5,0.9,1.3,0.9,1.2,1.4,0.8,0.9,1.5,0.8,1.1,0.8,1.8
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,5954,0,0,0,0,0,0,0,0.0,92,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1460,0,150,0,0,0,59,0,0,0,Liverpool,Arsenal,Burnley,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,0,32,1.8,4e-07,7.11111111111111e-06,0,16069,6,23,0,0,0,0,0,7.1,294,0,0,32,0,0.3,0,1.3,0,0,4,0,0,0.2,12236,0,127,0,0,1427,24,0,0,170,Arsenal,Burnley,Man Utd,West Ham,Southampton,0.0,1.9,1.0,1.0,1.4,0.9,0.9,2.0,1.2,0.9,1.2,1.3,0.9,1.0,0.9,1.0
Hector,Bellerin,DEF,ARS,6500000,1,71,3.9,6e-07,1.09230769230769e-05,0,942363,1,20,0,0,0,0,0,10.9,7990,0,0,71,0,0.0,0,0.3,10,0,6,0,3,14.9,361417,0,541,0,1,1508,4449,0,0,326,Watford,Chelsea,Hull City,Liverpool,Leicester,4.7,3.8,5.0,0.0,4.8,4.2,4.2,4.7,5.5,4.8,4.1,4.5,3.7,3.5,4.6,4.6
Yohan,Benalouane,DEF,LEI,4000000,0,0,0.0,0.0,0.0,0,8049,0,0,0,0,0,0,0,0.0,60,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,1491,0,15,0,0,0,76,0,0,0,Burnley,Man Utd,Swansea,Liverpool,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4259,0,0,0,0,0,0,0,0.0,17,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,490,0,29,0,0,0,3,0,0,0,Sunderland,Middlesbrough,Liverpool,Stoke,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,0,6,0.0909090909090909,1.51515151515151e-08,1e-06,0,44938,1,2,0,0,0,0,0,1.0,518,-5,0,6,5,0.0,0,0.0,0,0,2,0,0,0.6,18443,0,226,0,0,243,6399,0,0,-3,Everton,West Brom,Crystal Palace,Tottenham,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,85,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,37,0,55,0,0,0,3,0,0,0,Arsenal,Burnley,Man Utd,West Ham,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,0,7,0.106060606060606,2.4665257223396802e-08,1.62790697674419e-06,0,972,1,5,0,0,0,0,0,1.6,89,-2,0,7,2,0.5,0,2.0,0,0,1,0,0,0.0,1226,0,0,0,0,270,195,0,0,53,West Brom,Tottenham,Everton,Crystal Palace,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ryan,Bertrand,DEF,SOU,5400000,7,61,4.4,8.148148148148151e-07,1.12962962962963e-05,0,65570,2,15,0,0,0,1,0,11.3,1742,-1,0,61,1,0.6,0,3.0,4,0,7,0,1,1.3,77752,0,415,0,1,1247,4754,0,0,261,Swansea,West Ham,Sunderland,Watford,Man Utd,4.5,6.6,3.4,0.0,4.1,4.6,3.8,6.6,6.1,4.5,5.9,4.0,6.3,4.9,4.3,6.2
