FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Reece,Oxford,DEF,WHU,4200000,0,0,0.0,0.0,0.0,0,17420,0,0,0,0,0,0,0,0.0,289,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.3,2269,0,28,0,0,0,35,0,0,0,Swansea,Leicester,Man Utd,Crystal Palace,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesut,Ozil,MID,ARS,9600000,2,78,4.9,5.104166666666669e-07,8.125e-06,0,352356,0,15,0,0,0,5,0,8.1,24078,1,0,78,-1,0.6,0,5.4,10,0,3,0,3,9.2,449910,0,783,0,1,1336,8823,0,0,328,West Brom,Crystal Palace,Bournemouth,Swansea,Burnley,5.3,4.9,4.6,5.1,6.8,6.3,4.2,5.7,4.5,3.3,7.0,5.0,4.4,5.3,5.2,5.5,7.2,3.7,5.6,5.1,6.0
Alex,Palmer,GLK,WBA,4000000,0,0,0.0,0.0,0.0,0,545,0,0,0,0,0,0,0,0.0,154,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2038,0,0,0,0,0,172,0,0,0,Arsenal,Southampton,Hull City,Tottenham,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costel,Pantilimon,GLK,WAT,4300000,0,1,0.0196078431372549,4.55996352029184e-09,2.3255813953488398e-07,0,12034,0,4,0,6,0,0,0,0.2,265,-2,0,1,2,0.0,0,0.0,0,0,0,0,0,0.4,2231,0,146,0,0,58,55,0,0,16,Crystal Palace,Tottenham,Stoke,Middlesbrough,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Carlos,Paredes,DEF,WAT,4000000,0,0,0.0,0.0,0.0,0,412467,0,0,0,0,0,0,0,0.0,4655,0,0,0,0,0.0,0,0.0,0,0,0,0,0,5.1,13975,0,88,0,0,0,53,0,0,0,Crystal Palace,Tottenham,Stoke,Middlesbrough,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Pau Lopez,GLK,TOT,5000000,0,0,0.0,0.0,0.0,0,312,0,0,0,0,0,0,0,0.0,20,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,328,0,0,0,0,0,13,0,0,0,Southampton,Watford,Chelsea,West Brom,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimitri,Payet,MID,WHU,9100000,3,72,4.8,5.27472527472528e-07,7.912087912087911e-06,0,825424,1,25,0,0,0,2,0,7.9,23333,-4,0,72,4,0.5,0,5.0,9,0,4,0,7,9.7,235737,0,701,0,1,1265,3572,0,0,302,Swansea,Leicester,Man Utd,Crystal Palace,Middlesbrough,4.5,4.7,5.8,5.2,4.8,4.7,3.9,5.6,4.8,4.8,3.9,7.1,4.5,3.3,6.0,5.4,6.2,4.4,5.5,4.2,4.3
,Pedro,MID,CHE,7000000,0,63,1.23529411764706,1.7647058823529398e-07,9e-06,0,194487,3,3,0,0,0,3,0,8.9,39193,-5,2,63,5,0.4,0,2.6,5,0,7,0,5,3.4,303174,0,399,0,2,756,6850,-2,0,201,Bournemouth,Stoke,Tottenham,Leicester,Hull City,0.8,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,1.1
Matthew,Pennington,DEF,EVE,3900000,0,0,0.0,0.0,0.0,0,10480,0,0,0,0,0,0,0,0.0,865,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.4,15539,0,53,0,0,0,622,0,0,0,Leicester,Hull City,Southampton,Man City,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas,Pereira,MID,MUN,4400000,0,0,0.0,0.0,0.0,0,2689,0,0,0,0,0,0,0,0.0,25,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,672,0,12,0,0,0,6,0,0,0,Sunderland,Middlesbrough,West Ham,Liverpool,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto,Pereyra,MID,WAT,6000000,0,43,3.3,5.5e-07,7.16666666666667e-06,0,57493,2,17,0,0,0,2,0,7.2,2988,0,0,43,0,0.1,0,0.4,2,0,3,0,3,0.4,63016,0,0,0,0,1036,132,0,1,186,Crystal Palace,Tottenham,Stoke,Middlesbrough,Bournemouth,0.0,0.0,0.0,0.0,0.0,1.8,4.2,2.7,3.2,3.4,1.9,2.6,4.6,3.2,1.7,3.5,2.5,2.3,2.6,2.3,2.6
