FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Daniel,Amartey,MID,LEI,4300000,3,10,0.4166666666666671,9.68992248062016e-08,2.32558139534884e-06,0,19511,0,5,0,0,0,0,0,2.3,912,-2,0,10,2,0.7,0,3.0,0,0,3,0,0,0.3,17738,0,0,0,0,394,2997,0,1,40,Everton,Swansea,Man City,Stoke,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.1
Ethan,Ampadu,MID,CHE,4500000,0,1,0.0416666666666667,9.259259259259259e-09,2.22222222222222e-07,0,515,0,1,0,0,0,0,0,0.2,35,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,632,0,0,0,0,10,51,0,0,6,Bournemouth,Watford,West Brom,Man Utd,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,7620,0,3,0,0,0,0,0,1.2,19,0,0,6,0,0.0,0,0.0,0,0,1,0,0,0.0,3625,0,0,0,0,198,0,0,0,11,Stoke,Chelsea,West Ham,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,47886,0,0,0,0,0,0,0,0.0,1161,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,59219,0,0,0,0,0,1329,0,0,0,West Ham,Newcastle,Everton,Tottenham,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michail,Antonio,MID,WHU,7400000,0,40,1.6666666666666698,2.2522522522522503e-07,5.40540540540541e-06,0,82755,1,16,0,0,0,1,0,5.4,303,-1,0,40,1,0.0,0,0.0,1,0,6,0,1,0.2,78280,0,0,0,0,1061,104,0,0,94,Crystal Palace,Brighton,Watford,Liverpool,Swansea,0.0,0.0,0.0,0.8,1.1,1.1,0.9,1.1,0.8,1.2,0.8,0.8,0.8,1.6,61.7
Scott,Arfield,MID,BUR,4900000,2,54,2.25,4.59183673469388e-07,1.1020408163265301e-05,0,37127,3,14,0,0,0,2,0,11.0,1054,-1,0,54,1,0.3,0,1.3,6,0,6,0,2,0.3,47562,0,0,0,2,1255,416,0,0,170,Newcastle,Man City,Swansea,Southampton,Everton,1.7,1.1,1.9,1.7,2.4,1.4,1.5,1.5,1.5,1.7,1.4,1.9,1.2,2.0,57.6
Marko,Arnautovic,MID,WHU,7000000,5,80,4.2,6e-07,1.14285714285714e-05,0,675591,2,28,0,0,0,6,0,11.3,406575,0,0,80,0,0.9,0,6.5,7,0,3,0,4,6.7,949401,0,0,0,2,1267,41246,0,1,247,Crystal Palace,Brighton,Watford,Liverpool,Swansea,0.0,0.0,0.0,2.7,4.6,4.6,3.9,4.7,3.2,4.9,3.1,3.3,3.4,5.9,124.7
Harry,Arter,MID,BOU,4700000,0,27,1.125,2.3936170212765996e-07,5.74468085106383e-06,0,39570,4,13,0,0,0,1,0,5.7,630,-3,0,27,3,0.1,0,0.7,0,0,3,0,0,0.3,12991,0,0,0,0,959,73,0,0,156,Chelsea,Stoke,Huddersfield,Newcastle,Leicester,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,29.2
Christian,Atsu,MID,NEW,4800000,2,67,3.4,7.08333333333333e-07,1.3958333333333301e-05,0,479035,1,17,0,0,0,2,0,14.0,9031,-2,0,67,2,0.5,0,2.3,5,0,5,0,4,2.0,440916,0,0,0,1,1497,5932,0,0,201,Burnley,Crystal Palace,Man Utd,Bournemouth,Liverpool,3.1,2.7,2.6,3.2,2.1,3.2,2.4,4.1,2.7,3.7,3.6,3.8,3.0,2.9,91.7
Serge,Aurier,DEF,TOT,5900000,2,48,2.0,3.3898305084745803e-07,8.13559322033898e-06,0,73688,0,10,0,0,0,1,0,8.1,11810,-1,0,48,1,0.6,0,3.5,6,0,4,0,1,0.7,96248,0,0,0,2,977,600,0,1,214,Man Utd,Liverpool,Arsenal,Crystal Palace,Huddersfield,0.0,1.3,2.0,2.4,2.1,1.2,1.6,1.6,1.4,1.4,1.5,1.9,1.2,1.5,53.8
Charlie,Austin,FWD,SOU,5900000,0,53,2.2083333333333304,3.74293785310734e-07,8.98305084745763e-06,0,435847,1,10,0,0,0,6,0,8.8,5897,-6,1,53,6,0.0,0,0.0,9,0,1,0,0,0.8,399379,0,0,0,1,596,215,-1,0,163,Brighton,West Brom,Liverpool,Burnley,Stoke,0.0,0.0,0.0,0.0,0.0,1.8,1.7,1.6,1.2,1.3,1.7,2.1,1.7,1.6,69.5
Andre,Ayew,MID,WHU,6800000,0,47,1.9583333333333302,2.87990196078431e-07,6.91176470588235e-06,0,97385,2,25,0,0,0,3,0,6.9,1311,-2,0,47,2,0.1,1,0.5,2,0,1,0,2,1.0,46924,0,0,0,0,886,216,0,0,161,Crystal Palace,Brighton,Watford,Liverpool,Swansea,0.0,1.0,1.3,1.0,1.4,1.4,1.1,1.5,1.0,1.6,1.0,1.0,1.0,2.1,47.9
Jordan,Ayew,FWD,SWA,5200000,2,72,3.0,5.76923076923077e-07,1.38461538461538e-05,0,442082,1,31,0,0,0,4,0,14.1,33864,2,-1,72,-2,0.8,0,4.0,7,0,6,0,2,9.5,831068,0,0,0,0,1853,108978,1,0,241,Arsenal,Leicester,Burnley,Brighton,West Ham,3.1,2.6,2.8,2.6,3.2,2.5,3.2,2.1,2.6,3.4,2.5,2.2,2.9,3.8,107.3
Cesar,Azpilicueta,DEF,CHE,7000000,6,127,5.5,7.857142857142859e-07,1.8142857142857102e-05,0,745915,1,16,0,0,0,1,0,18.1,31396,5,0,127,-5,0.7,0,4.7,16,0,12,0,6,22.9,1268560,1,0,0,3,2070,28098,0,0,605,Bournemouth,Watford,West Brom,Man Utd,Man City,6.9,7.2,7.5,5.8,5.9,7.9,6.9,7.2,7.9,7.1,8.1,6.2,7.8,6.4,103.8
Daniel,Bachmann,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,2421,0,0,0,0,0,0,0,0.0,468,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,6686,0,0,0,0,0,481,0,0,0,Stoke,Chelsea,West Ham,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,6000000,0,46,1.9166666666666698,3.19444444444444e-07,7.66666666666667e-06,0,867696,2,3,0,0,0,1,0,7.7,3759,0,0,46,0,0.0,0,0.0,3,0,6,0,0,5.6,580830,0,0,0,1,720,47,0,0,198,Tottenham,Huddersfield,Newcastle,Chelsea,Crystal Palace,0.0,0.0,0.0,0.0,0.0,1.8,1.4,1.5,1.0,1.7,1.0,1.9,1.4,1.9,28.3
Leighton,Baines,DEF,EVE,5600000,0,36,1.5,2.67857142857143e-07,6.42857142857143e-06,0,428065,1,25,0,0,0,2,0,6.4,2790,-4,0,36,4,0.0,0,0.0,2,0,1,0,1,2.9,65163,0,0,0,1,1099,26,0,0,189,Leicester,Arsenal,Crystal Palace,Watford,Burnley,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.9,1.3,0.8,1.0,0.8,1.2,0.9,51.0
Tiemoue,Bakayoko,MID,CHE,5000000,3,67,3.0,6e-07,1.34e-05,0,293931,2,12,0,0,0,2,0,13.4,8329,0,0,67,0,0.5,0,2.7,5,0,9,0,2,2.2,353865,0,0,0,1,1640,7837,0,0,298,Bournemouth,Watford,West Brom,Man Utd,Man City,3.1,2.4,3.2,1.5,1.6,2.8,2.3,2.4,2.9,2.5,3.5,2.9,2.3,2.7,94.9
Sam,Baldock,FWD,BHA,4900000,0,1,0.0416666666666667,8.50340136054422e-09,2.04081632653061e-07,0,2306,0,0,0,0,0,0,0,0.2,87,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.0,1925,0,0,0,0,24,100,0,0,1,Southampton,West Ham,Stoke,Swansea,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Beni,Baningime,MID,EVE,4500000,0,5,0.208333333333333,4.6296296296296295e-08,1.11111111111111e-06,0,352,0,1,0,0,0,0,0,1.1,16,0,0,5,0,0.0,0,0.0,0,0,0,0,0,0.0,462,0,0,0,0,145,24,0,0,17,Leicester,Arsenal,Crystal Palace,Watford,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Phil,Bardsley,DEF,BUR,4300000,1,30,1.25,2.90697674418605e-07,6.97674418604651e-06,0,25244,5,11,0,0,0,0,0,7.0,3235,-2,0,30,2,0.2,0,1.0,0,0,4,0,0,1.1,74029,0,0,0,0,990,13365,0,0,181,Newcastle,Man City,Swansea,Southampton,Everton,0.6,0.6,0.6,0.8,0.6,0.8,0.9,0.6,0.8,0.7,0.7,1.1,0.6,0.7,36.0
Ross,Barkley,MID,CHE,7300000,0,0,0.0,0.0,0.0,0,11394,0,0,0,0,0,0,0,0.0,773,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,4466,0,0,0,0,0,1353,0,0,0,Bournemouth,Watford,West Brom,Man Utd,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley,Barnes,FWD,BUR,5200000,2,42,1.8,3.46153846153846e-07,8.07692307692308e-06,0,79156,4,11,0,0,0,3,0,8.1,5584,-3,0,42,3,0.4,0,2.0,2,0,3,0,0,1.1,89841,0,0,0,0,1074,9860,0,0,128,Newcastle,Man City,Swansea,Southampton,Everton,1.3,1.2,1.2,1.5,1.6,1.1,0.9,1.1,1.4,1.5,1.4,1.6,0.9,1.6,71.6
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,264,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,0,0,0,0,0,0,0,0,0,Arsenal,Leicester,Burnley,Brighton,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,WBA,4500000,2,50,2.4,5.33333333333333e-07,1.11111111111111e-05,0,120642,3,25,0,0,0,1,0,11.1,1646,0,0,50,0,0.4,0,2.0,0,0,4,0,2,0.9,66566,0,0,0,0,1627,1610,0,0,256,Man City,Southampton,Chelsea,Huddersfield,Watford,1.2,2.0,1.2,2.7,1.5,2.1,1.6,2.0,2.5,1.2,1.7,1.7,1.8,1.3,75.8
Kyle,Bartley,DEF,SWA,4300000,0,4,0.166666666666667,3.87596899224806e-08,9.30232558139535e-07,0,5469,1,2,0,0,0,0,0,0.9,47,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0.0,1056,0,0,0,0,165,85,0,0,24,Arsenal,Leicester,Burnley,Brighton,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
Michy,Batshuayi,FWD,CHE,8100000,5,25,2.1,2.5925925925925896e-07,3.08641975308642e-06,0,169809,0,7,0,0,0,2,0,3.1,2169,-4,0,25,4,0.2,0,1.7,3,0,1,0,1,0.7,121128,1,0,0,1,351,10018,0,0,77,Bournemouth,Watford,West Brom,Man Utd,Man City,2.0,1.7,2.0,1.1,1.4,2.0,1.4,1.6,1.9,1.7,2.2,1.5,1.6,1.6,25.7
Moritz,Bauer,DEF,STK,4500000,5,6,0.25,5.5555555555555594e-08,1.33333333333333e-06,0,1672,1,3,0,0,0,0,0,1.3,1461,0,0,6,0,0.7,0,3.0,0,0,1,0,0,0.3,17190,0,0,0,0,180,14555,0,0,37,Watford,Bournemouth,Brighton,Leicester,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.3
Jan,Bednarek,DEF,SOU,4100000,0,0,0.0,0.0,0.0,0,9095,0,0,0,0,0,0,0,0.0,121,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,2062,0,0,0,0,0,194,0,0,0,Brighton,West Brom,Liverpool,Burnley,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir,Begovic,GLK,BOU,4500000,3,74,3.1,6.88888888888889e-07,1.64444444444444e-05,0,217435,2,36,0,68,0,0,0,16.4,7485,0,0,74,0,0.5,0,2.3,4,0,4,0,0,3.9,143183,0,0,1,3,2160,3161,0,0,395,Chelsea,Stoke,Huddersfield,Newcastle,Leicester,3.1,3.7,2.6,3.1,2.2,3.2,3.4,3.4,4.5,2.8,3.2,3.1,3.0,3.0,49.3
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,9889,0,0,0,0,0,0,0,0.0,24,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,635,0,0,0,0,0,1,0,0,0,Stoke,Chelsea,West Ham,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hector,Bellerin,DEF,ARS,6100000,2,95,4.0,6.557377049180329e-07,1.5573770491803302e-05,0,646173,3,31,0,0,0,2,0,15.6,32727,1,0,95,-1,1.0,0,6.0,7,0,9,0,2,13.1,605687,0,0,0,1,2160,29163,0,0,462,Swansea,Everton,Tottenham,Man City,Brighton,3.2,4.6,3.1,4.4,3.9,5.5,2.8,5.5,5.3,3.4,5.9,2.9,5.3,3.2,124.5
Yohan,Benalouane,DEF,LEI,4200000,0,0,0.0,0.0,0.0,0,3335,0,0,0,0,0,0,0,0.0,68,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1271,0,0,0,0,0,62,0,0,0,Everton,Swansea,Man City,Stoke,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,7600000,5,46,2.6,3.42105263157895e-07,6.05263157894737e-06,0,422683,5,23,0,0,0,1,0,6.1,5261,-4,0,46,4,0.7,1,5.0,3,0,5,0,4,2.3,96762,0,0,0,0,1478,9879,0,0,65,West Ham,Newcastle,Everton,Tottenham,Man Utd,1.8,2.6,1.9,2.4,2.4,1.3,1.9,2.4,2.2,2.9,2.3,2.8,2.4,2.8,92.9
Saido,Berahino,FWD,STK,5600000,0,15,0.625,1.11607142857143e-07,2.67857142857143e-06,0,34023,0,9,0,0,0,0,0,2.7,379,-4,0,15,4,0.1,1,0.3,0,0,2,0,1,0.2,14079,0,0,0,0,383,240,0,0,30,Watford,Bournemouth,Brighton,Leicester,Southampton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.2
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,234,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,37,0,0,0,0,0,1,0,0,0,Stoke,Chelsea,West Ham,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo Silva,MID,MCI,7400000,1,54,2.25,3.0405405405405395e-07,7.2972972972972995e-06,0,108696,0,4,0,0,0,2,0,7.3,1956,-6,0,54,6,0.4,0,2.7,0,0,4,0,4,0.8,42612,0,0,0,0,674,14989,0,0,229,West Brom,Burnley,Leicester,Arsenal,Chelsea,2.0,1.5,1.7,1.2,1.5,1.4,1.8,1.9,1.3,1.2,2.1,1.4,2.2,1.6,74.6
Ryan,Bertrand,DEF,SOU,5300000,5,64,3.0,5.66037735849057e-07,1.2075471698113199e-05,0,767024,0,29,0,0,0,0,0,12.1,9556,-2,0,64,2,0.4,0,2.3,4,0,4,0,4,4.7,287634,0,0,0,1,1885,4970,0,0,370,Brighton,West Brom,Liverpool,Burnley,Stoke,0.0,2.5,3.3,3.0,3.4,2.7,2.6,3.2,2.3,3.4,2.3,2.8,2.0,2.5,89.6
Muhamed,Besic,MID,EVE,4200000,0,2,0.0833333333333333,1.98412698412698e-08,4.76190476190476e-07,0,13307,0,0,0,0,0,0,0,0.5,266,-3,1,2,3,0.0,0,0.0,0,0,0,0,0,0.2,10794,0,0,0,0,46,385,-1,0,10,Leicester,Arsenal,Crystal Palace,Watford,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Philip,Billing,MID,HUD,4400000,0,12,0.5,1.13636363636364e-07,2.7272727272727298e-06,0,37686,2,5,0,0,0,0,0,2.7,140,-1,0,12,1,0.0,0,0.0,0,0,3,0,0,0.2,31728,0,0,0,0,420,33,0,0,52,Liverpool,Man Utd,Bournemouth,West Brom,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12.6
Daley,Blind,DEF,MUN,5100000,0,20,0.833333333333333,1.6339869281045803e-07,3.92156862745098e-06,0,185579,0,0,0,0,0,0,0,3.9,1740,-4,0,20,4,0.1,0,0.3,0,0,3,0,0,0.9,135621,0,0,0,0,274,42,0,0,88,Tottenham,Huddersfield,Newcastle,Chelsea,Crystal Palace,0.0,0.5,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,980,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,539,0,0,0,0,17,1,0,0,1,Bournemouth,Watford,West Brom,Man Utd,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6555,0,1,0,0,0,0,0,0.4,15,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1876,0,0,0,0,71,1,0,0,5,Watford,Bournemouth,Brighton,Leicester,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,1,8,0.33333333333333304,5.20833333333333e-08,1.25e-06,0,6890,0,4,0,0,0,0,0,1.3,747,-1,0,8,1,0.2,0,1.3,0,0,1,0,0,0.1,5290,0,0,0,0,241,429,0,0,17,Leicester,Arsenal,Crystal Palace,Watford,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6.7
