FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Trent,Alexander-Arnold,DEF,LIV,4200000,0,36,1.38461538461538,3.2967032967033e-07,8.571428571428571e-06,0,272205,3,12,0,0,0,1,0,8.6,9876,-3,0,36,3,0.0,0,0.0,4,0,3,0,1,2.9,295376,0,0,0,1,799,19192,0,0,189,Southampton,West Ham,Newcastle,Man Utd,Watford,0.9,1.2,0.8,0.7,1.1,1.3,0.7,0.8,0.7,1.1,0.8,1.2,50.8
Joe,Allen,MID,STK,5100000,2,79,3.3,6.47058823529412e-07,1.54901960784314e-05,0,211679,5,40,0,0,0,2,0,15.5,9618,-4,0,79,4,0.9,0,4.5,10,0,4,0,4,2.0,109596,0,0,0,2,2142,4112,0,0,381,Brighton,Leicester,Southampton,Man City,Everton,3.5,2.5,2.7,2.3,4.2,2.1,3.0,2.6,3.2,1.9,3.4,2.8,112.6
Bamidele,Alli,MID,TOT,8900000,1,116,4.6,5.1685393258427e-07,1.30337078651685e-05,0,2069592,5,22,0,0,0,5,0,13.0,29677,-6,0,116,6,0.4,0,3.5,7,0,10,0,10,12.2,978323,0,0,0,2,2101,6982,0,0,355,Arsenal,Crystal Palace,Huddersfield,Bournemouth,Newcastle,5.9,4.0,6.5,4.7,5.6,3.9,4.1,3.9,3.9,5.0,4.4,5.6,188.4
Marcos,Alonso,DEF,CHE,7300000,0,138,5.5,7.53424657534247e-07,1.89041095890411e-05,0,1237544,5,19,0,0,0,6,0,18.9,214218,3,1,138,-3,0.5,0,3.8,13,0,12,0,1,23.1,1540221,0,0,0,4,2143,11460,-1,0,525,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0.0,5.8,6.0,7.9,7.1,7.3,7.9,7.2,8.0,6.2,7.6,6.2,163.2
Daniel,Amartey,MID,LEI,4300000,0,12,0.46153846153846206,1.0733452593917699e-07,2.7906976744186e-06,0,22146,0,7,0,0,0,0,0,2.8,1639,-2,0,12,2,0.5,0,2.0,0,0,3,0,0,0.3,22991,0,0,0,0,467,873,0,1,50,Man City,Stoke,Bournemouth,West Brom,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,0.0384615384615385,8.54700854700855e-09,2.22222222222222e-07,0,559,0,1,0,0,0,0,0,0.2,25,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,696,0,0,0,0,10,31,0,0,6,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,7631,0,3,0,0,0,0,0,1.2,5,0,0,6,0,0.0,0,0.0,0,0,1,0,0,0.0,3626,0,0,0,0,198,1,0,0,11,West Ham,Everton,West Brom,Arsenal,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,49777,0,0,0,0,0,0,0,0.0,952,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,59454,0,0,0,0,0,108,0,0,0,Everton,Tottenham,Man Utd,Chelsea,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Andre Ayew,MID,SWA,6800000,0,47,1.80769230769231,2.65837104072398e-07,6.91176470588235e-06,0,98981,2,25,0,0,0,3,0,6.9,769,-2,0,47,2,0.0,1,0.3,2,0,1,0,2,1.0,49072,0,0,0,0,886,1138,0,0,161,Burnley,Brighton,West Ham,Huddersfield,Southampton,1.2,0.9,1.4,1.1,1.2,0.9,1.0,1.7,0.9,1.1,1.1,1.3,47.9
Michail,Antonio,MID,WHU,7400000,1,41,1.57692307692308,2.1309771309771302e-07,5.540540540540541e-06,0,83224,1,17,0,0,0,1,0,5.5,289,-1,0,41,1,0.0,0,0.3,1,0,6,0,1,0.2,79112,0,0,0,0,1085,585,0,0,94,Watford,Liverpool,Swansea,Burnley,Man Utd,0.9,0.8,0.8,1.0,0.8,1.0,0.8,1.1,0.8,0.8,0.8,1.5,62.2
Scott,Arfield,MID,BUR,4900000,0,55,2.1153846153846203,4.3171114599686e-07,1.12244897959184e-05,0,39261,3,14,0,0,0,2,0,11.2,1155,-1,0,55,1,0.2,0,0.8,6,0,6,0,2,0.3,47850,0,0,0,2,1314,127,0,0,181,Swansea,Southampton,Everton,West Ham,Chelsea,1.5,1.5,2.2,1.4,1.4,1.4,1.3,1.6,1.3,1.7,1.1,1.7,59.3
Marko,Arnautovic,MID,WHU,6800000,0,80,3.07692307692308,4.52488687782805e-07,1.1764705882352901e-05,0,867287,2,28,0,0,0,6,0,11.8,44606,-2,1,80,2,0.8,0,5.3,7,0,3,0,4,3.5,954408,0,0,0,2,1267,4323,-1,1,247,Watford,Liverpool,Swansea,Burnley,Man Utd,0.0,1.6,2.5,2.9,2.6,2.9,2.0,3.2,1.8,2.0,2.2,3.9,124.7
Harry,Arter,MID,BOU,4700000,0,27,1.03846153846154,2.20949263502455e-07,5.74468085106383e-06,0,40152,4,13,0,0,0,1,0,5.7,327,-3,0,27,3,0.0,0,0.0,0,0,3,0,0,0.3,13331,0,0,0,0,959,150,0,0,156,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,29.2
Christian,Atsu,MID,NEW,4800000,1,71,3.2,6.66666666666667e-07,1.47916666666667e-05,0,497510,1,17,0,0,0,2,0,14.8,11078,-2,0,71,2,0.4,0,2.0,5,0,6,0,4,1.7,445220,0,0,0,1,1593,1223,0,0,206,Man Utd,Bournemouth,Liverpool,Southampton,Tottenham,2.5,2.9,2.0,2.8,2.1,3.8,2.6,3.4,3.1,3.5,2.6,2.6,100.9
Pierre-Emerick,Aubameyang,FWD,ARS,10500000,6,6,0.23076923076923103,2.1978021978022e-08,5.714285714285711e-07,0,20884,0,1,0,0,0,1,0,0.6,9664,0,0,6,0,0.6,0,6.0,0,0,0,0,0,5.6,336032,0,0,0,0,90,231136,0,0,31,Tottenham,Man City,Brighton,Watford,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0
Serge,Aurier,DEF,TOT,5900000,0,48,1.84615384615385,3.12907431551499e-07,8.13559322033898e-06,0,81790,0,10,0,0,0,1,0,8.1,1991,-1,0,48,1,0.5,0,2.8,6,0,4,0,1,0.5,96935,0,0,0,2,977,607,0,1,214,Arsenal,Crystal Palace,Huddersfield,Bournemouth,Newcastle,2.0,2.0,1.8,1.0,1.3,1.2,1.2,1.3,1.3,1.7,1.0,1.4,53.8
Charlie,Austin,FWD,SOU,5900000,0,53,2.03846153846154,3.45501955671447e-07,8.98305084745763e-06,0,442475,1,10,0,0,0,6,0,9.0,2769,-6,0,53,6,0.0,0,0.0,9,0,1,0,0,0.6,399561,0,0,0,1,596,88,0,0,163,Liverpool,Burnley,Stoke,Newcastle,Swansea,0.0,0.0,0.0,0.0,0.0,1.4,1.0,1.1,1.5,1.8,1.4,1.5,69.5
Cesar,Azpilicueta,DEF,CHE,7000000,0,128,5.1,7.285714285714291e-07,1.82857142857143e-05,0,833832,1,23,0,0,0,1,0,18.3,50924,5,0,128,-5,0.5,0,3.5,16,0,12,0,6,22.3,1317505,1,0,0,3,2250,37671,0,0,633,West Brom,Man Utd,Man City,Crystal Palace,Burnley,6.8,5.2,5.3,7.3,6.4,6.6,7.3,6.5,7.3,5.6,6.9,5.6,113.4
Daniel,Bachmann,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,2863,0,0,0,0,0,0,0,0.0,259,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,7353,0,0,0,0,0,410,0,0,0,West Ham,Everton,West Brom,Arsenal,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Badou Ndiaye,MID,STK,5500000,4,4,0.153846153846154,2.7972027972028e-08,7.27272727272727e-07,0,194,1,1,0,0,0,0,0,0.7,155,0,0,4,0,0.7,0,4.0,0,0,0,0,1,0.0,1535,0,0,0,0,70,985,0,0,14,Brighton,Leicester,Southampton,Man City,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.3
Eric,Bailly,DEF,MUN,6000000,0,46,1.7692307692307698,2.94871794871795e-07,7.66666666666667e-06,0,872385,2,3,0,0,0,1,0,7.7,2697,0,0,46,0,0.0,0,0.0,3,0,6,0,0,5.4,580909,0,0,0,1,720,51,0,0,198,Newcastle,Chelsea,Crystal Palace,Liverpool,West Ham,0.0,0.0,0.0,0.0,0.0,1.4,0.9,1.6,0.9,2.0,1.1,1.7,28.3
Leighton,Baines,DEF,EVE,5600000,0,36,1.38461538461538,2.47252747252747e-07,6.42857142857143e-06,0,431438,1,25,0,0,0,2,0,6.4,1872,-4,0,36,4,0.0,0,0.0,2,0,1,0,1,2.8,65219,0,0,0,1,1099,30,0,0,189,Crystal Palace,Watford,Burnley,Brighton,Stoke,0.0,0.0,0.0,0.0,0.0,0.8,1.1,0.7,0.8,0.7,1.1,0.8,51.0
Tiemoue,Bakayoko,MID,CHE,5000000,-2,67,2.8,5.6e-07,1.34e-05,0,327095,2,19,0,0,0,2,0,13.4,25508,0,0,67,0,0.3,0,1.5,5,0,9,0,2,1.6,357706,0,0,0,1,1759,778,0,1,306,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0.0,1.4,1.4,2.5,2.1,2.2,2.8,2.2,3.2,2.3,2.0,2.4,100.1
Sam,Baldock,FWD,BHA,4900000,0,1,0.0384615384615385,7.84929356357928e-09,2.04081632653061e-07,0,2480,0,0,0,0,0,0,0,0.2,79,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.0,2089,0,0,0,0,24,76,0,0,1,Stoke,Swansea,Arsenal,Everton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Beni,Baningime,MID,EVE,4500000,0,5,0.19230769230769199,4.27350427350427e-08,1.11111111111111e-06,0,392,0,1,0,0,0,0,0,1.1,21,0,0,5,0,0.0,0,0.0,0,0,0,0,0,0.0,499,0,0,0,0,145,17,0,0,17,Crystal Palace,Watford,Burnley,Brighton,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Phil,Bardsley,DEF,BUR,4300000,1,33,1.26923076923077,2.9516994633273697e-07,7.674418604651159e-06,0,44200,5,13,0,0,0,0,0,7.7,15779,-2,0,33,2,0.3,0,1.3,0,0,4,0,0,0.8,79043,0,0,0,0,1125,377,0,0,193,Swansea,Southampton,Everton,West Ham,Chelsea,0.0,0.8,0.7,0.8,0.8,0.6,0.9,0.7,0.7,1.0,0.6,0.6,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.0384615384615385,5.26870389884089e-09,1.36986301369863e-07,0,13443,0,1,0,0,0,0,0,0.1,1138,-2,0,1,2,0.0,0,0.3,0,0,0,0,0,0.2,5397,0,0,0,0,53,198,0,0,4,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
Ashley,Barnes,FWD,BUR,5200000,1,44,1.8,3.46153846153846e-07,8.46153846153846e-06,0,92405,6,13,0,0,0,3,0,8.5,5207,-3,0,44,3,0.3,0,1.5,2,0,3,0,0,0.9,95869,0,0,0,0,1254,4095,0,0,122,Swansea,Southampton,Everton,West Ham,Chelsea,1.1,1.4,1.6,1.1,0.9,1.1,1.3,1.5,1.4,1.6,0.9,1.5,75.1
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,265,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,51,0,0,0,0,0,1,0,0,0,Burnley,Brighton,West Ham,Huddersfield,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,WBA,4500000,1,52,2.3,5.11111111111111e-07,1.15555555555556e-05,0,123749,4,30,0,0,0,1,0,11.6,1849,0,0,52,0,0.4,0,1.8,0,0,4,0,2,0.9,68975,0,0,0,0,1774,877,0,0,268,Chelsea,Huddersfield,Watford,Leicester,Bournemouth,1.2,2.5,1.3,2.1,1.5,1.9,2.1,1.2,1.6,1.6,1.7,1.2,79.3
Kyle,Bartley,DEF,SWA,4300000,0,4,0.153846153846154,3.5778175313058994e-08,9.30232558139535e-07,0,5543,1,2,0,0,0,0,0,0.9,41,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0.1,1165,0,0,0,0,165,75,0,0,24,Burnley,Brighton,West Ham,Huddersfield,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.5925925925925896e-07,3.08641975308642e-06,0,180229,0,7,0,0,0,2,0,3.1,1724,-4,0,25,4,0.2,0,1.3,3,0,1,0,1,0.5,121608,1,0,0,1,351,13,0,0,77,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7
Moritz,Bauer,DEF,STK,4500000,1,12,0.46153846153846206,1.0256410256410301e-07,2.66666666666667e-06,0,4045,2,5,0,0,0,0,0,2.7,1221,0,0,12,0,0.7,0,3.0,0,0,2,0,0,0.8,47940,0,0,0,0,360,22011,0,0,72,Brighton,Leicester,Southampton,Man City,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,18.2
Jan,Bednarek,DEF,SOU,4100000,0,0,0.0,0.0,0.0,0,9293,0,0,0,0,0,0,0,0.0,107,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,2261,0,0,0,0,0,117,0,0,0,Liverpool,Burnley,Stoke,Newcastle,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir,Begovic,GLK,BOU,4500000,2,83,3.2,7.11111111111111e-07,1.8444444444444397e-05,0,227038,2,37,0,75,0,0,0,18.4,5884,0,0,83,0,0.8,0,3.5,4,0,5,0,0,4.1,165046,0,0,1,3,2340,7459,0,0,437,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,2.8,3.0,2.5,3.4,3.6,3.6,4.6,3.0,3.5,3.4,3.2,3.3,56.0
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,9936,0,0,0,0,0,0,0,0.0,30,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,640,0,0,0,0,0,5,0,0,0,West Ham,Everton,West Brom,Arsenal,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hector,Bellerin,DEF,ARS,6100000,2,97,3.7,6.0655737704918e-07,1.59016393442623e-05,0,735183,4,35,0,0,0,2,0,15.9,38278,1,0,97,-1,0.5,0,3.0,7,0,9,0,2,11.9,625955,0,0,0,1,2340,14149,0,0,476,Tottenham,Man City,Brighton,Watford,Leicester,2.7,4.1,3.3,5.0,2.5,5.1,4.8,2.8,5.3,2.5,4.8,2.9,127.5
Yohan,Benalouane,DEF,LEI,4200000,0,0,0.0,0.0,0.0,0,3434,0,0,0,0,0,0,0,0.0,55,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1388,0,0,0,0,0,63,0,0,0,Man City,Stoke,Bournemouth,West Brom,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,7600000,5,59,3.0,3.9473684210526293e-07,7.76315789473684e-06,0,434689,5,25,0,0,0,2,0,7.8,8288,-4,0,59,4,0.8,1,5.8,5,0,5,0,5,2.5,118489,0,0,0,0,1658,7291,0,0,100,Everton,Tottenham,Man Utd,Chelsea,Huddersfield,2.4,3.0,3.1,1.8,2.4,2.9,2.7,3.6,2.7,3.4,2.9,3.5,113.0
Saido,Berahino,FWD,STK,5600000,1,17,0.653846153846154,1.1675824175824198e-07,3.03571428571429e-06,0,34541,0,9,0,0,0,0,0,3.0,281,-4,0,17,4,0.1,1,0.5,0,0,2,0,1,0.2,14416,0,0,0,0,395,227,0,0,36,Brighton,Leicester,Southampton,Man City,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.8
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,237,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,39,0,0,0,0,0,1,0,0,0,West Ham,Everton,West Brom,Arsenal,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo Silva,MID,MCI,7400000,5,62,2.3846153846153797,3.22245322245322e-07,8.37837837837838e-06,0,117500,0,5,0,0,0,2,0,8.4,5045,-6,0,62,6,0.5,0,3.8,0,0,5,0,5,1.1,66764,0,0,0,0,854,12059,0,0,259,Leicester,Arsenal,Chelsea,Stoke,Brighton,2.0,1.3,1.7,1.5,2.0,2.0,1.6,1.2,2.0,1.7,2.5,1.7,85.2
Ryan,Bertrand,DEF,SOU,5300000,0,66,2.9,5.47169811320755e-07,1.2452830188679199e-05,0,777015,1,32,0,0,0,0,0,12.5,5409,-2,0,66,2,0.4,0,2.0,4,0,4,0,4,4.5,292264,0,0,0,1,2065,2150,0,0,391,Liverpool,Burnley,Stoke,Newcastle,Swansea,3.1,2.9,3.2,2.4,2.4,3.0,2.5,2.9,2.2,2.5,2.0,2.4,98.8
Muhamed,Besic,MID,EVE,4200000,0,2,1.0,2.38095238095238e-07,4.76190476190476e-07,0,14280,0,0,0,0,0,0,0,0.5,472,-3,0,2,3,0.0,0,0.0,0,0,0,0,0,0.2,11344,0,0,0,0,46,94,0,0,10,Crystal Palace,Watford,Burnley,Brighton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Philip,Billing,MID,HUD,4400000,0,14,0.538461538461538,1.22377622377622e-07,3.18181818181818e-06,0,37917,3,8,0,0,0,0,0,3.2,128,-1,0,14,1,0.1,0,0.5,0,0,3,0,0,0.2,31853,0,0,0,0,542,56,0,0,64,Bournemouth,West Brom,Tottenham,Swansea,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,13.7
Daley,Blind,DEF,MUN,5100000,0,20,0.7692307692307689,1.50829562594268e-07,3.92156862745098e-06,0,187222,0,0,0,0,0,0,0,3.9,886,-4,0,20,4,0.0,0,0.0,0,0,3,0,0,0.9,135662,0,0,0,0,274,22,0,0,88,Newcastle,Chelsea,Crystal Palace,Liverpool,West Ham,0.0,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,986,0,0,0,0,0,0,0,0.2,3,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,540,0,0,0,0,17,0,0,0,1,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6568,0,1,0,0,0,0,0,0.4,7,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1877,0,0,0,0,71,0,0,0,5,Brighton,Leicester,Southampton,Man City,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,2,10,0.384615384615385,6.009615384615379e-08,1.5625e-06,0,8056,0,9,0,0,0,0,0,1.6,423,-1,0,10,1,0.2,0,1.0,0,0,1,0,0,0.1,6213,0,0,0,0,331,736,0,0,19,Crystal Palace,Watford,Burnley,Brighton,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.9
Gaetan,Bong,DEF,BHA,4400000,2,38,2.9,6.59090909090909e-07,8.63636363636364e-06,0,10937,1,17,0,0,0,0,0,8.6,336,-1,0,38,1,0.3,0,1.3,3,0,4,0,0,0.2,11538,0,0,0,1,1170,463,0,0,227,Stoke,Swansea,Arsenal,Everton,Man City,2.4,2.9,3.9,1.7,2.0,2.9,3.6,3.3,3.2,2.6,3.2,2.3,29.1
