FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8900,0,0,0,0,0,0,0,0.0,8,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1351,0,0,0,0,0,2,0,0,0,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,4900000,5,51,2.3,4.6938775510204106e-07,1.04081632653061e-05,0,65621,3,28,0,0,0,0,0,10.4,414,-6,0,51,6,0.4,0,2.0,2,0,6,0,2,0.7,19540,0,519,0,0,1525,3317,0,0,266,Hull City,West Ham,Stoke,Sunderland,Everton,2.7,0.0,1.2,2.1,2.7,1.2,1.3,2.0,1.2,2.6,1.2,2.0
Toby,Alderweireld,DEF,TOT,6300000,1,70,3.9,6.19047619047619e-07,1.11111111111111e-05,0,637288,1,9,0,0,0,0,0,11.1,9952,-2,0,70,2,0.5,0,3.3,3,0,9,0,0,8.9,109793,0,598,0,0,1521,574,0,0,368,Everton,Southampton,Burnley,Swansea,Watford,0.0,0.0,5.7,2.5,3.4,4.9,5.8,2.3,5.8,4.3,4.1,3.5
Trent,Alexander-Arnold,MID,LIV,4300000,0,4,0.0512820512820513,1.1926058437686298e-08,9.30232558139535e-07,0,1557,0,1,0,0,0,0,0,0.9,47,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0.0,1671,0,0,0,0,92,28,0,0,18,Arsenal,Burnley,Man City,Everton,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5100000,2,96,3.8,7.45098039215686e-07,1.88235294117647e-05,0,842071,7,38,0,0,0,6,0,18.8,12655,1,0,96,-1,0.8,0,4.3,10,0,6,0,3,12.0,1238049,0,132,0,1,2068,89935,0,0,410,Middlesbrough,Man City,Chelsea,Leicester,Burnley,7.1,0.0,3.4,3.4,3.0,3.2,5.2,3.3,3.2,2.8,3.1,2.8
Bamidele,Alli,MID,TOT,8700000,8,143,5.7,6.55172413793104e-07,1.6436781609195402e-05,0,745612,4,14,0,0,0,12,0,16.3,103333,2,1,143,-2,0.5,0,4.3,12,0,12,0,5,25.0,1332297,0,666,0,3,1981,24221,-1,0,424,Everton,Southampton,Burnley,Swansea,Watford,7.9,0.0,7.7,4.9,5.3,8.6,7.6,5.5,6.3,3.9,7.3,5.9
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,1120,0,0,0,0,0,0,0,0.0,53,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,3075,0,0,0,0,0,133,0,0,0,Man Utd,West Ham,Swansea,Southampton,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6800000,2,124,5.9,8.67647058823529e-07,1.82352941176471e-05,0,181406,2,10,0,0,0,4,0,18.2,23506,8,0,124,-8,0.6,0,4.0,6,0,12,0,3,15.2,769672,0,0,0,2,1810,10638,0,0,468,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,7.3,0.0,7.0,8.2,8.0,7.0,6.0,8.7,6.3,8.4,6.9,8.0
Daniel,Amartey,MID,LEI,4500000,1,46,2.4,5.33333333333333e-07,1.02222222222222e-05,0,25095,3,25,0,0,0,1,0,10.2,305,0,0,46,0,0.2,0,0.7,3,0,4,0,1,0.2,27143,0,23,0,1,1420,185,0,0,216,Hull City,West Ham,Stoke,Sunderland,Everton,2.9,0.0,1.2,2.2,2.9,1.2,1.4,2.1,1.2,2.8,1.2,2.2
Jordi,Amat,DEF,SWA,4000000,0,20,1.3,3.25e-07,5e-06,0,427339,5,34,0,0,0,0,0,5.0,11527,0,0,20,0,0.0,0,0.0,0,0,2,0,0,8.7,405551,0,63,0,0,1350,2349,0,0,224,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,1.0,0.7,0.8,0.9,1.0,1.0,0.6,1.0,0.6,0.8,0.6,1.1
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2e-07,9.2e-06,0,16789,3,32,0,0,0,0,0,9.2,83,0,0,46,0,0.0,0,0.0,5,0,2,0,3,0.1,15673,0,74,0,0,1403,5,0,0,185,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0.0,0.0,1.8,3.1,2.3,1.3,2.3,2.1,1.7,1.9,1.5,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2469,0,0,0,0,0,0,0,0.0,14,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1781,0,0,0,0,0,13,0,0,0,West Brom,Watford,Chelsea,Southampton,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2737,0,0,0,0,0,0,0,0.0,17,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,943,0,0,0,0,0,9,0,0,0,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4300000,0,37,0.474358974358974,1.10316040548599e-07,8.6046511627907e-06,0,284684,1,12,0,0,0,3,0,8.6,4539,-2,0,37,2,0.0,0,0.0,5,0,2,0,1,1.2,320810,0,0,0,1,715,3655,0,0,131,Man City,Burnley,Watford,Leicester,Man Utd,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michail,Antonio,MID,WHU,6900000,2,117,4.7,6.81159420289855e-07,1.6956521739130403e-05,0,1141683,4,37,0,0,0,8,0,16.7,140950,-1,1,117,1,0.3,0,2.0,7,0,7,0,7,8.6,1274371,0,452,0,3,2169,924,-1,1,356,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0.0,4.2,6.6,5.5,3.5,5.4,5.7,5.6,4.4,5.2,4.2,4.5
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6059,0,0,0,0,0,0,0,0.2,9,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,376,0,176,0,0,10,0,0,0,3,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5684,3,9,0,0,0,0,0,0.0,26,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5227,0,0,0,0,258,36,0,0,34,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,1,52,2.3,4.4230769230769206e-07,1e-05,0,7688,3,25,0,0,0,1,0,10.0,63,-3,0,52,3,0.3,0,1.3,3,0,4,0,2,0.1,4461,0,0,0,1,1486,33,0,0,188,Swansea,Liverpool,Sunderland,Tottenham,Stoke,1.2,1.2,1.4,2.1,2.2,1.2,1.2,2.0,1.2,2.1,1.2,1.6
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,83,0,0,0,0,0,0,0,0.0,28,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,272,0,0,0,0,0,65,0,0,0,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,1,66,3.0,4.2253521126760605e-07,9.29577464788732e-06,0,101982,8,27,0,0,0,3,0,9.3,2209,-4,0,66,4,0.2,0,1.7,3,0,7,0,3,1.1,70004,0,528,0,1,1857,10945,0,1,238,Middlesbrough,Man City,Chelsea,Leicester,Burnley,4.9,0.0,2.4,2.3,2.0,2.2,3.8,2.2,2.2,1.9,2.1,1.9
Harry,Arter,MID,BOU,5000000,2,58,2.3,4.6e-07,1.1599999999999999e-05,0,19900,7,48,0,0,0,1,0,11.6,427,0,0,58,0,0.6,0,3.0,2,0,6,0,2,0.3,21545,0,188,0,0,2111,310,0,1,377,Man Utd,West Ham,Swansea,Southampton,Liverpool,1.4,1.4,1.9,1.2,1.2,1.5,1.2,2.1,1.8,2.0,2.7,1.5
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4412,0,0,0,0,0,0,0,0.0,13,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,619,0,0,0,0,0,7,0,0,0,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0128205128205128,2.9137529137529103e-09,2.2727272727272702e-07,0,606,0,0,0,0,0,0,0,0.2,3,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,514,0,0,0,0,10,2,0,0,3,Man City,Burnley,Watford,Leicester,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125e-07,9.21875e-06,0,895924,1,7,0,0,0,6,0,9.2,1157,-1,0,59,1,0.0,0,0.0,10,0,6,0,1,1.9,869459,0,32,0,1,866,86,0,0,211,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0.0,0.0,0.0,0.0,0.0,4.2,5.9,3.5,6.7,4.8,4.3,6.0
Daniel,Ayala,DEF,MID,4800000,2,22,0.282051282051282,5.87606837606838e-08,4.58333333333333e-06,0,10936,2,6,0,0,0,1,0,4.6,46,-2,0,22,2,0.1,0,0.7,0,0,2,0,0,0.1,6004,0,0,0,0,480,24,0,0,103,Stoke,Man Utd,Swansea,Hull City,Burnley,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,8,32,0.41025641025640996,5.778259299386059e-08,4.50704225352113e-06,0,275706,0,9,0,0,0,2,0,4.5,117,-4,0,32,4,0.4,0,2.7,2,0,2,0,0,1.0,9032,0,524,0,0,527,538,0,0,83,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jordan,Ayew,FWD,SWA,5000000,1,2,0.0256410256410256,5.12820512820513e-09,4e-07,0,1093,0,1,0,0,0,0,0,0.4,475,0,0,2,0,0.1,0,0.7,0,0,0,0,0,0.1,3692,0,0,0,0,34,1051,0,0,3,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar,Azpilicueta,DEF,CHE,6500000,2,118,4.5,6.92307692307692e-07,1.81538461538462e-05,0,474383,3,19,0,0,0,0,0,18.2,27028,5,0,118,-5,0.3,0,2.0,16,0,13,0,2,18.4,684150,0,470,0,1,2340,1863,0,0,609,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,5.5,0.0,5.2,6.2,5.5,5.3,4.0,6.5,4.2,5.8,5.1,5.6
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1354,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,310,0,138,0,0,0,6,0,0,0,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,0,48,3.4,6.41509433962264e-07,9.0566037735849e-06,0,515967,3,11,0,0,0,0,0,9.1,1035,-2,0,48,2,1.3,0,7.0,9,0,5,0,0,6.1,218757,0,0,0,0,1098,6561,0,0,291,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,4.4,0.0,3.3,4.4,3.7,2.9,3.7,2.6,3.7,4.2,2.9,4.0
Leighton,Baines,DEF,EVE,5700000,6,99,5.0,8.7719298245614e-07,1.73684210526316e-05,0,514374,2,17,0,0,0,2,0,17.4,17419,2,0,99,-2,0.8,1,4.3,13,0,8,0,3,12.0,655647,0,212,0,1,1784,8046,0,0,423,Tottenham,West Brom,Hull City,Liverpool,Man Utd,4.6,7.5,7.5,5.7,4.5,6.5,7.3,6.0,6.9,5.5,6.6,6.0
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11803,0,0,0,0,0,0,0,0.0,39,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1910,0,0,0,0,0,34,0,0,0,Arsenal,Burnley,Man City,Everton,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,0,9,0.115384615384615,2.3547880690737797e-08,1.8367346938775502e-06,0,5120,0,2,0,0,0,0,0,1.8,323,-1,0,9,1,0.1,0,0.3,0,0,0,0,0,0.1,6691,0,0,0,0,84,70,0,0,26,Stoke,Man Utd,Swansea,Hull City,Burnley,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3628,0,0,0,0,0,0,0,0.0,15,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2589,0,0,0,0,0,7,0,0,0,Stoke,Man Utd,Swansea,Hull City,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,0,24,0.307692307692308,7.15563506261181e-08,5.58139534883721e-06,0,10356,3,15,0,0,0,0,0,5.6,104,-2,0,24,2,0.2,0,1.0,0,0,2,0,0,0.1,8567,0,107,0,0,988,980,0,0,147,Middlesbrough,Man City,Chelsea,Leicester,Burnley,0.4,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7100000,3,96,4.0,5.63380281690141e-07,1.35211267605634e-05,0,698680,3,22,0,0,0,4,0,13.5,25104,-4,0,96,4,0.8,0,6.0,9,0,7,0,6,7.3,605802,0,654,0,1,1913,5783,0,0,354,Tottenham,West Brom,Hull City,Liverpool,Man Utd,2.2,4.4,5.6,2.0,3.4,5.5,5.7,2.5,3.8,3.4,5.4,2.4
Ashley,Barnes,FWD,BUR,4500000,-1,49,0.628205128205128,1.3960113960114e-07,1.0888888888888901e-05,0,131322,3,15,0,0,0,4,0,10.9,29424,0,0,49,0,0.7,0,3.0,5,0,3,0,2,2.9,235326,0,0,0,1,1057,3000,0,1,147,Swansea,Liverpool,Sunderland,Tottenham,Stoke,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4400000,0,57,2.9,6.59090909090909e-07,1.29545454545455e-05,0,95163,5,21,0,0,0,0,0,12.7,2320,-1,1,57,1,0.0,0,0.0,8,0,5,0,0,0.8,102628,0,0,0,0,1721,117,-1,0,355,Stoke,Man Utd,Swansea,Hull City,Burnley,0.0,0.0,2.3,2.6,2.6,3.5,3.7,2.8,2.9,2.3,3.6,3.1
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,119738,1,23,0,0,0,0,0,6.8,841,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.7,111678,0,120,0,0,1145,33,0,0,136,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4400000,0,54,2.5,5.68181818181818e-07,1.2272727272727302e-05,0,360004,6,23,0,0,0,2,0,12.3,4980,-1,0,54,1,0.2,0,1.0,3,0,5,0,1,3.7,375806,0,418,0,0,1590,1723,0,0,285,Tottenham,West Brom,Hull City,Liverpool,Man Utd,1.2,2.2,3.0,1.2,1.6,2.9,3.1,1.2,1.8,1.6,2.9,1.2
Joey,Barton,MID,BUR,4500000,2,21,0.269230769230769,5.982905982905981e-08,4.6666666666666705e-06,0,6433,1,5,0,0,0,1,0,4.7,859,0,0,21,0,0.8,0,3.7,0,0,1,0,2,0.3,20129,0,0,0,0,396,1280,0,0,98,Swansea,Liverpool,Sunderland,Tottenham,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Borja,Baston,FWD,SWA,6700000,0,28,0.35897435897435903,5.357826253348639e-08,4.17910447761194e-06,0,9865,0,11,0,0,0,1,0,4.2,43,-3,0,28,3,0.0,0,0.3,1,0,1,0,2,0.0,6544,0,0,0,0,510,28,0,0,70,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,0,24,1.5,1.7647058823529398e-07,2.82352941176471e-06,0,129344,0,0,0,0,0,1,0,2.8,193,-5,0,24,5,0.0,0,0.3,1,0,0,0,1,0.9,60698,0,0,0,0,110,33,0,0,66,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,0.9,0.0,0.8,1.1,1.1,0.8,0.8,1.2,0.8,1.1,0.8,1.4
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,6265,0,0,0,0,0,0,0,0.0,53,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1589,0,150,0,0,0,17,0,0,0,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,2,39,1.9,4.2222222222222205e-07,8.66666666666667e-06,0,16670,6,25,0,0,0,0,0,8.7,97,0,0,39,0,0.4,0,1.7,0,0,5,0,0,0.2,12672,0,127,0,0,1643,141,0,0,202,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,1.4,0.0,1.1,2.0,1.4,1.0,1.4,1.3,1.0,1.1,1.0,1.1
Hector,Bellerin,DEF,ARS,6500000,0,78,3.9,6e-07,1.2e-05,0,987736,1,21,0,0,0,0,0,12.0,3759,0,0,78,0,0.5,0,3.5,10,0,7,0,3,13.9,366540,0,541,0,1,1614,1204,0,0,352,Liverpool,West Brom,Man City,West Ham,Crystal Palace,4.7,0.0,4.3,4.4,5.4,4.8,3.9,4.4,3.4,3.6,4.4,4.6
Yohan,Benalouane,DEF,LEI,4000000,0,0,0.0,0.0,0.0,0,8227,0,0,0,0,0,0,0,0.0,53,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,1748,0,15,0,0,0,50,0,0,0,Hull City,West Ham,Stoke,Sunderland,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4307,0,0,0,0,0,0,0,0.0,17,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,514,0,29,0,0,0,4,0,0,0,Everton,Southampton,Burnley,Swansea,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,1,9,0.115384615384615,1.9230769230769198e-08,1.5e-06,0,54834,1,2,0,0,0,0,0,1.5,2344,-5,0,9,5,0.1,0,0.7,0,0,2,0,0,0.6,29827,0,226,0,0,331,1926,0,0,4,Middlesbrough,Man City,Chelsea,Leicester,Burnley,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,91,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,43,0,55,0,0,0,0,0,0,0,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,2,21,0.269230769230769,6.26118067978533e-08,4.88372093023256e-06,0,1672,2,8,0,0,0,0,0,4.9,368,-2,0,21,2,1.0,0,4.3,3,0,2,0,0,0.1,5123,0,0,0,0,630,1513,0,0,125,Stoke,Man Utd,Swansea,Hull City,Burnley,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ryan,Bertrand,DEF,SOU,5400000,0,82,4.8,8.888888888888891e-07,1.51851851851852e-05,0,77521,2,20,0,0,0,1,0,15.2,2139,-1,0,82,1,1.4,0,7.5,8,0,8,0,4,1.9,114112,0,415,0,2,1517,9978,0,0,353,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,4.5,0.0,4.4,7.1,6.7,5.5,6.1,4.9,7.1,5.5,5.0,7.1
Muhamed,Besic,MID,EVE,4300000,0,0,0.0,0.0,0.0,0,1287,0,0,0,0,0,0,0,0.0,20,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,631,0,75,0,0,0,42,0,0,0,Tottenham,West Brom,Hull City,Liverpool,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daley,Blind,DEF,MUN,5200000,0,79,4.6,8.846153846153851e-07,1.51923076923077e-05,0,423559,2,13,0,0,0,1,0,15.2,4660,-3,0,79,3,0.7,0,3.5,12,0,7,0,2,4.9,457658,0,477,0,1,1395,4516,0,0,417,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,6.5,0.0,5.2,6.5,5.7,4.6,5.7,4.2,5.6,6.0,4.6,6.1
