FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Marc,Albrighton,MID,LEI,5000000,3,45,2.3,4.6e-07,9e-06,0,63579,3,25,0,0,0,0,0,9.0,651,-5,0,45,5,0.4,0,2.0,2,0,6,0,1,0.7,15887,0,519,0,0,1390,102,0,0,239,Man Utd,Swansea,Liverpool,Hull City,Arsenal,2.0,1.3,1.4,2.7,1.2,1.2,1.9,2.9,1.2,1.3,1.8,1.2,2.5,1.2,2.1
Toby,Alderweireld,DEF,TOT,6300000,6,60,4.0,6.349206349206351e-07,9.52380952380952e-06,0,622266,0,7,0,0,0,0,0,9.5,1174,-2,0,60,2,0.7,0,4.3,0,0,8,0,0,9.0,98042,0,598,0,0,1293,5087,0,0,317,Middlesbrough,Liverpool,Stoke,Everton,Crystal Palace,5.0,4.4,5.5,5.2,4.5,6.0,2.6,3.8,5.1,5.8,2.6,5.8,4.5,4.1,4.0
Trent,Alexander-Arnold,MID,LIV,4300000,0,3,0.0434782608695652,1.01112234580384e-08,6.976744186046509e-07,0,1375,0,1,0,0,0,0,0,0.7,59,-2,0,3,2,0.2,0,0.7,0,0,0,0,0,0.0,1513,0,0,0,0,91,63,0,0,15,Hull City,Tottenham,Leicester,Arsenal,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5200000,2,83,3.8,7.307692307692309e-07,1.5961538461538502e-05,0,778509,7,33,0,0,0,5,0,16.0,34606,2,0,83,-2,0.3,0,1.7,9,0,5,0,3,10.5,1105718,0,132,0,1,1798,6080,0,0,378,West Brom,Crystal Palace,Tottenham,Middlesbrough,Man City,2.9,3.5,2.3,4.1,2.7,3.3,3.6,3.2,2.8,5.0,3.6,3.1,3.0,2.8,2.9
Bamidele,Alli,MID,TOT,8900000,3,130,5.9,6.629213483146071e-07,1.46067415730337e-05,0,504249,4,12,0,0,0,11,0,14.8,14709,4,-1,130,-4,0.6,0,5.0,12,0,10,0,5,28.0,1220582,0,666,0,3,1714,56021,1,0,383,Middlesbrough,Liverpool,Stoke,Everton,Crystal Palace,8.1,3.7,7.7,8.1,6.0,8.2,5.4,6.1,8.8,8.1,6.1,6.2,4.4,7.7,6.6
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,900,0,0,0,0,0,0,0,0.0,57,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2708,0,0,0,0,0,49,0,0,0,Everton,Man City,West Brom,Man Utd,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6600000,2,112,6.2,9.39393939393939e-07,1.6969696969697e-05,0,148434,2,7,0,0,0,3,0,17.0,9117,6,0,112,-6,1.5,0,9.7,6,0,12,0,3,11.9,605704,0,0,0,2,1540,18284,0,0,418,Arsenal,Burnley,Swansea,West Ham,Watford,8.7,5.9,8.5,7.5,8.8,7.6,8.4,8.7,7.3,6.4,9.3,7.1,8.6,7.3,8.8
Daniel,Amartey,MID,LEI,4500000,0,44,2.6,5.77777777777778e-07,9.77777777777778e-06,0,23686,3,25,0,0,0,1,0,9.8,708,0,0,44,0,0.0,0,0.0,3,0,4,0,1,0.2,26789,0,23,0,1,1377,17,0,0,207,Man Utd,Swansea,Liverpool,Hull City,Arsenal,0.0,1.6,1.7,3.2,1.3,1.3,2.3,3.5,1.4,1.6,2.2,1.3,3.0,1.3,2.5
Jordi,Amat,DEF,SWA,4000000,0,20,1.3,3.25e-07,5e-06,0,383676,5,34,0,0,0,0,0,4.9,14558,0,1,20,0,0.0,0,0.0,0,0,2,0,0,9.5,394958,0,63,0,0,1350,1842,-1,0,224,Man City,Leicester,Chelsea,Burnley,Hull City,0.7,0.7,0.7,1.0,0.8,0.8,0.8,0.9,1.0,0.7,0.9,0.6,0.8,0.6,1.0
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2e-07,9.2e-06,0,16335,3,32,0,0,0,0,0,9.2,184,0,0,46,0,0.0,0,0.0,5,0,2,0,3,0.1,15636,0,74,0,0,1403,19,0,0,185,Burnley,Man Utd,West Ham,Southampton,Chelsea,3.3,1.9,1.8,2.4,1.3,1.9,3.3,2.2,1.3,2.2,2.4,1.5,1.9,1.6,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2409,0,0,0,0,0,0,0,0.0,6,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1740,0,0,0,0,0,7,0,0,0,Sunderland,Stoke,Middlesbrough,West Brom,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2644,0,0,0,0,0,0,0,0.0,18,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,920,0,0,0,0,0,4,0,0,0,Swansea,Bournemouth,Sunderland,Stoke,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4400000,0,37,0.5362318840579711,1.21870882740448e-07,8.40909090909091e-06,0,261536,1,12,0,0,0,3,0,8.2,10212,-1,1,37,1,0.1,0,0.3,5,0,2,0,1,1.6,314054,0,0,0,1,715,470,-1,0,131,Crystal Palace,Southampton,Everton,Man City,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Michail,Antonio,MID,WHU,7000000,2,111,5.0,7.142857142857141e-07,1.58571428571429e-05,0,926765,4,33,0,0,0,8,0,15.9,24488,0,-1,111,0,1.0,0,7.3,7,0,7,0,6,12.2,1217892,0,452,0,3,1904,17862,1,0,349,Southampton,West Brom,Watford,Chelsea,Bournemouth,4.4,5.8,5.8,5.1,4.6,7.2,6.1,3.9,5.8,5.9,6.2,4.9,5.5,4.4,4.7
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6024,0,0,0,0,0,0,0,0.2,13,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,371,0,176,0,0,10,2,0,0,3,Burnley,Man Utd,West Ham,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5541,3,9,0,0,0,0,0,0.0,55,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5115,0,0,0,0,258,23,0,0,34,Southampton,West Brom,Watford,Chelsea,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,1,48,2.4,4.615384615384621e-07,9.23076923076923e-06,0,7480,3,23,0,0,0,1,0,9.2,64,-3,0,48,3,0.1,0,0.3,3,0,4,0,2,0.1,4330,0,0,0,1,1382,17,0,0,177,Watford,Chelsea,Hull City,Swansea,Liverpool,1.3,1.9,1.5,1.2,1.2,1.4,2.1,2.2,1.2,1.2,2.3,1.2,2.2,1.2,1.8
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,35,0,0,0,0,0,35,0,0,0,Burnley,Man Utd,West Ham,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,5,61,3.2,4.50704225352113e-07,8.59154929577465e-06,0,93182,6,22,0,0,0,3,0,8.6,1132,-4,0,61,4,1.0,0,7.3,3,0,6,0,3,0.9,51082,0,528,0,1,1587,4166,0,1,216,West Brom,Crystal Palace,Tottenham,Middlesbrough,Man City,2.2,2.7,1.7,3.2,2.0,2.5,2.8,2.4,2.1,4.0,2.8,2.4,2.3,2.1,2.2
Harry,Arter,MID,BOU,5000000,1,49,2.2,4.4e-07,9.800000000000001e-06,0,18436,5,38,0,0,0,0,0,9.8,714,0,0,49,0,0.2,0,1.0,2,0,6,0,2,0.3,20113,0,188,0,0,1866,102,0,1,325,Everton,Man City,West Brom,Man Utd,West Ham,1.1,1.4,1.1,1.3,1.4,1.8,1.1,1.1,1.5,1.1,1.9,1.6,1.7,2.6,1.4
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4346,0,0,0,0,0,0,0,0.0,12,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,575,0,0,0,0,0,11,0,0,0,Chelsea,Hull City,Liverpool,Leicester,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0144927536231884,3.29380764163373e-09,2.2727272727272702e-07,0,586,0,0,0,0,0,0,0,0.2,8,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,504,0,0,0,0,10,6,0,0,3,Crystal Palace,Southampton,Everton,Man City,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125e-07,9.21875e-06,0,889459,1,7,0,0,0,6,0,9.2,1833,-1,0,59,1,0.0,0,0.0,10,0,6,0,1,2.1,869150,0,32,0,1,866,125,0,0,211,West Ham,Sunderland,Watford,Man Utd,Tottenham,0.0,0.0,0.0,0.0,0.0,3.6,6.3,5.7,4.2,6.1,3.1,6.7,4.7,4.3,5.9
Daniel,Ayala,DEF,MID,4800000,0,20,0.289855072463768,6.03864734299517e-08,4.16666666666667e-06,0,10743,2,5,0,0,0,1,0,4.2,67,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.1,5897,0,0,0,0,390,20,0,0,91,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,0,24,0.34782608695652195,4.89895897121862e-08,3.38028169014085e-06,0,275222,0,9,0,0,0,1,0,3.4,133,-4,0,24,4,0.0,0,0.0,0,0,2,0,0,1.0,8328,0,524,0,0,501,31,0,0,60,Southampton,West Brom,Watford,Chelsea,Bournemouth,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jordan,Ayew,FWD,SWA,5000000,0,0,0.0,0.0,0.0,0,93,0,0,0,0,0,0,0,0.0,93,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,591,0,0,0,0,0,591,0,0,0,Man City,Leicester,Chelsea,Burnley,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar,Azpilicueta,DEF,CHE,6600000,2,112,4.9,7.424242424242429e-07,1.6969696969697e-05,0,395842,3,16,0,0,0,0,0,17.0,13594,6,0,112,-6,0.8,0,5.0,16,0,13,0,2,20.0,671509,0,470,0,1,2070,4002,0,0,554,Arsenal,Burnley,Swansea,West Ham,Watford,6.9,4.1,6.2,6.0,6.5,5.9,6.7,6.4,5.7,4.5,7.4,5.0,6.3,5.7,6.5
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1279,0,0,0,0,0,0,0,0.0,18,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,267,0,138,0,0,0,15,0,0,0,Arsenal,Burnley,Swansea,West Ham,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,0,34,0.492753623188406,9.29723817336615e-08,6.41509433962264e-06,0,511188,3,11,0,0,0,0,0,6.4,622,-2,0,34,2,0.0,0,0.0,7,0,3,0,0,5.7,195360,0,0,0,0,918,1088,0,0,216,Leicester,Watford,Bournemouth,Southampton,Middlesbrough,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Leighton,Baines,DEF,EVE,5700000,2,86,5.1,8.947368421052629e-07,1.50877192982456e-05,0,468829,2,14,0,0,0,2,0,15.4,7549,2,-1,86,-2,0.8,1,4.7,13,0,6,0,3,11.8,604432,0,212,0,1,1514,26806,1,0,357,Bournemouth,Middlesbrough,Sunderland,Tottenham,West Brom,7.6,5.5,6.9,5.1,7.5,7.4,6.0,4.7,6.6,7.6,6.1,7.0,5.8,6.9,6.3
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11649,0,0,0,0,0,0,0,0.0,28,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1803,0,0,0,0,0,16,0,0,0,Hull City,Tottenham,Leicester,Arsenal,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,1,8,0.11594202898550698,2.3661638568470897e-08,1.63265306122449e-06,0,3918,0,2,0,0,0,0,0,1.6,396,-1,0,8,1,0.1,0,0.7,0,0,0,0,0,0.1,6237,0,0,0,0,72,335,0,0,20,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3552,0,0,0,0,0,0,0,0.0,20,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2566,0,0,0,0,0,10,0,0,0,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,1,21,0.304347826086956,7.077856420626901e-08,4.88372093023256e-06,0,9927,3,10,0,0,0,0,0,4.9,62,-2,0,21,2,0.1,0,0.3,0,0,2,0,0,0.1,7213,0,107,0,0,751,102,0,0,108,West Brom,Crystal Palace,Tottenham,Middlesbrough,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7000000,2,78,3.7,5.28571428571429e-07,1.11428571428571e-05,0,660293,3,19,0,0,0,3,0,11.1,4883,-5,0,78,5,0.7,0,4.7,7,0,5,0,5,6.3,520894,0,654,0,0,1655,6255,0,0,277,Bournemouth,Middlesbrough,Sunderland,Tottenham,West Brom,4.1,3.2,5.3,2.0,3.8,5.0,1.9,3.2,5.0,5.3,2.2,3.3,3.2,4.7,2.2
Ashley,Barnes,FWD,BUR,4500000,2,40,0.579710144927536,1.28824476650564e-07,8.88888888888889e-06,0,83323,3,11,0,0,0,3,0,8.9,7298,0,0,40,0,0.6,0,2.7,3,0,3,0,2,2.7,178994,0,0,0,1,787,9800,0,0,126,Watford,Chelsea,Hull City,Swansea,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4500000,5,57,2.9,6.44444444444444e-07,1.2666666666666699e-05,0,83667,5,21,0,0,0,0,0,12.7,1135,0,0,57,0,0.4,0,1.7,8,0,5,0,0,1.0,101889,0,0,0,0,1721,1881,0,0,355,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,2.3,3.1,3.2,2.9,3.0,2.2,2.7,2.8,3.5,3.6,2.8,2.9,2.4,3.9,3.2
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,114142,1,23,0,0,0,0,0,6.8,2966,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.8,111580,0,120,0,0,1145,19,0,0,136,Man City,Leicester,Chelsea,Burnley,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4400000,0,51,2.5,5.68181818181818e-07,1.1590909090909101e-05,0,343729,6,21,0,0,0,2,0,11.3,5541,-1,1,51,1,0.3,0,1.3,3,0,5,0,1,3.9,368103,0,418,0,0,1507,2349,-1,0,261,Bournemouth,Middlesbrough,Sunderland,Tottenham,West Brom,2.3,1.7,3.2,1.2,2.1,2.9,1.2,1.7,2.9,3.1,1.2,1.8,1.7,2.7,1.2
Joey,Barton,MID,BUR,4500000,3,10,0.144927536231884,3.22061191626409e-08,2.22222222222222e-06,0,3900,0,1,0,0,0,1,0,2.2,806,0,0,10,0,0.7,0,3.3,0,0,1,0,0,0.3,14945,0,0,0,0,126,856,0,0,47,Watford,Chelsea,Hull City,Swansea,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Borja,Baston,FWD,SWA,6700000,0,27,0.39130434782608703,5.84036340038936e-08,4.02985074626866e-06,0,9705,0,10,0,0,0,1,0,4.0,53,-3,0,27,3,0.1,0,0.7,1,0,1,0,2,0.0,6432,0,0,0,0,502,18,0,0,68,Man City,Leicester,Chelsea,Burnley,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,1,23,1.5,1.7647058823529398e-07,2.70588235294118e-06,0,128473,0,0,0,0,0,1,0,2.7,261,-5,0,23,5,0.1,0,1.0,1,0,0,0,1,0.9,60460,0,0,0,0,106,44,0,0,64,Arsenal,Burnley,Swansea,West Ham,Watford,1.0,0.8,1.3,0.8,1.1,0.8,1.0,1.2,0.8,0.8,1.3,0.8,1.0,0.8,1.5
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,6029,0,0,0,0,0,0,0,0.0,72,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1483,0,150,0,0,0,20,0,0,0,Arsenal,Burnley,Swansea,West Ham,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,2,34,1.8,4e-07,7.55555555555556e-06,0,16189,6,24,0,0,0,0,0,7.6,108,0,0,34,0,0.4,0,1.7,0,0,4,0,0,0.2,12332,0,127,0,0,1489,95,0,0,181,Burnley,Man Utd,West Ham,Southampton,Chelsea,1.9,1.0,0.9,1.3,0.9,1.0,2.0,1.2,0.9,1.2,1.3,0.9,1.0,0.9,1.0
Hector,Bellerin,DEF,ARS,6500000,0,71,3.9,6e-07,1.09230769230769e-05,0,952178,1,20,0,0,0,0,0,10.9,9618,0,0,71,0,0.0,0,0.3,10,0,6,0,3,14.7,362829,0,541,0,1,1508,1112,0,0,326,Chelsea,Hull City,Liverpool,Leicester,West Brom,3.9,5.0,0.0,4.9,4.3,4.3,4.4,5.4,4.9,4.1,4.5,3.8,3.5,4.6,4.6
Yohan,Benalouane,DEF,LEI,4000000,0,0,0.0,0.0,0.0,0,8077,0,0,0,0,0,0,0,0.0,27,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,1530,0,15,0,0,0,38,0,0,0,Man Utd,Swansea,Liverpool,Hull City,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4266,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,494,0,29,0,0,0,4,0,0,0,Middlesbrough,Liverpool,Stoke,Everton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,1,7,0.101449275362319,1.69082125603865e-08,1.16666666666667e-06,0,46028,1,2,0,0,0,0,0,1.2,1061,-5,0,7,5,0.1,0,0.3,0,0,2,0,0,0.7,24355,0,226,0,0,267,5526,0,0,-1,West Brom,Crystal Palace,Tottenham,Middlesbrough,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,37,0,55,0,0,0,0,0,0,0,Burnley,Man Utd,West Ham,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,1,8,0.11594202898550698,2.6963262554769098e-08,1.86046511627907e-06,0,1048,2,6,0,0,0,0,0,1.9,68,-2,0,8,2,0.5,0,2.3,0,0,1,0,0,0.0,1334,0,0,0,0,360,91,0,0,61,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
