FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Marc,Albrighton,MID,LEI,4900000,1,46,2.2,4.4897959183673497e-07,9.38775510204082e-06,0,65198,3,27,0,0,0,0,0,9.4,680,-6,0,46,6,0.3,0,1.3,2,0,6,0,1,0.7,16219,0,519,0,0,1435,110,0,0,239,Liverpool,Hull City,West Ham,Stoke,Sunderland,1.3,2.6,0.0,1.1,1.9,2.5,1.1,1.3,1.8,1.1,2.4,1.1,1.9
Toby,Alderweireld,DEF,TOT,6300000,0,69,4.1,6.50793650793651e-07,1.0952380952381e-05,0,627323,1,9,0,0,0,0,0,11.0,2595,-2,0,69,2,0.8,0,5.0,3,0,9,0,0,9.1,109124,0,598,0,0,1473,5641,0,0,364,Stoke,Everton,Southampton,Burnley,Swansea,5.9,5.3,0.0,6.0,2.6,3.8,5.3,6.1,2.7,6.1,4.5,4.4,3.8
Trent,Alexander-Arnold,MID,LIV,4300000,1,4,0.0533333333333333,1.2403100775193799e-08,9.30232558139535e-07,0,1510,0,1,0,0,0,0,0,0.9,67,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0.0,1643,0,0,0,0,92,55,0,0,18,Leicester,Arsenal,Burnley,Man City,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5100000,9,94,3.9,7.64705882352941e-07,1.8431372549019602e-05,0,829228,7,34,0,0,0,6,0,18.4,14390,1,0,94,-1,0.8,0,4.3,10,0,6,0,3,10.3,1147913,0,132,0,1,1978,25015,0,0,405,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,2.2,4.5,2.8,3.5,3.7,3.2,3.2,5.4,3.5,3.3,3.0,3.2,3.0
Bamidele,Alli,MID,TOT,8800000,2,135,5.6,6.36363636363636e-07,1.53409090909091e-05,0,641709,4,14,0,0,0,11,0,15.3,65981,3,1,135,-3,0.3,0,2.7,12,0,11,0,5,26.8,1307495,0,666,0,3,1891,47356,-1,0,398,Stoke,Everton,Southampton,Burnley,Swansea,7.5,7.6,0.0,7.5,4.8,5.2,8.4,7.5,5.5,6.1,3.9,7.1,5.8
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,1067,0,0,0,0,0,0,0,0.0,70,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2941,0,0,0,0,0,144,0,0,0,West Brom,Man Utd,West Ham,Swansea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6800000,2,122,6.1,8.970588235294121e-07,1.79411764705882e-05,0,157843,2,9,0,0,0,4,0,18.2,6239,8,-1,122,-8,0.6,0,4.0,6,0,12,0,3,15.4,758528,0,0,0,2,1720,40856,1,0,454,Swansea,West Ham,Stoke,Crystal Palace,Man City,8.6,7.5,0.0,7.3,8.3,8.4,7.2,6.3,9.0,6.7,8.6,7.1,8.3
Daniel,Amartey,MID,LEI,4500000,1,45,2.5,5.55555555555556e-07,1e-05,0,24781,3,25,0,0,0,1,0,10.0,426,0,0,45,0,0.1,0,0.3,3,0,4,0,1,0.2,26958,0,23,0,1,1398,81,0,0,211,Liverpool,Hull City,West Ham,Stoke,Sunderland,1.7,3.1,0.0,1.2,2.3,3.0,1.3,1.6,2.2,1.2,2.9,1.2,2.3
Jordi,Amat,DEF,SWA,4000000,0,20,1.3,3.25e-07,5e-06,0,415487,5,34,0,0,0,0,0,5.0,16605,0,0,20,0,0.0,0,0.0,0,0,2,0,0,8.9,403167,0,63,0,0,1350,2809,0,0,224,Chelsea,Burnley,Hull City,Bournemouth,Middlesbrough,0.6,1.0,0.7,0.8,0.8,1.0,1.0,0.6,1.0,0.6,0.8,0.6,1.1
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2e-07,9.2e-06,0,16703,3,32,0,0,0,0,0,9.2,157,0,0,46,0,0.0,0,0.0,5,0,2,0,3,0.1,15668,0,74,0,0,1403,14,0,0,185,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,1.7,2.3,0.0,1.9,3.1,2.3,1.3,2.3,2.2,1.7,1.9,1.5,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2455,0,0,0,0,0,0,0,0.0,24,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1768,0,0,0,0,0,17,0,0,0,Middlesbrough,West Brom,Watford,Chelsea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2720,0,0,0,0,0,0,0,0.0,34,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,934,0,0,0,0,0,5,0,0,0,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4300000,0,37,0.4933333333333329,1.1472868217054301e-07,8.6046511627907e-06,0,280038,1,12,0,0,0,3,0,8.4,7317,-2,1,37,2,0.0,0,0.0,5,0,2,0,1,1.2,317125,0,0,0,1,715,2143,-1,0,131,Everton,Man City,Burnley,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michail,Antonio,MID,WHU,7000000,2,115,4.8,6.85714285714286e-07,1.6428571428571398e-05,0,1000447,4,36,0,0,0,8,0,16.4,36434,0,0,115,0,0.3,0,2.0,7,0,7,0,6,11.8,1273183,0,452,0,3,2084,15727,0,0,360,Watford,Chelsea,Bournemouth,Leicester,Hull City,5.5,4.7,4.4,6.8,5.7,3.6,5.5,5.9,5.7,4.5,5.4,4.3,4.6
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6050,0,0,0,0,0,0,0,0.2,8,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,376,0,176,0,0,10,1,0,0,3,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5658,3,9,0,0,0,0,0,0.0,49,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5191,0,0,0,0,258,37,0,0,34,Watford,Chelsea,Bournemouth,Leicester,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,1,51,2.3,4.4230769230769206e-07,9.80769230769231e-06,0,7625,3,25,0,0,0,1,0,9.8,66,-3,0,51,3,0.3,0,1.3,3,0,4,0,2,0.1,4426,0,0,0,1,1484,60,0,0,185,Hull City,Swansea,Liverpool,Sunderland,Tottenham,1.4,1.2,1.2,1.4,2.1,2.2,1.2,1.2,2.0,1.2,2.1,1.2,1.6
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,0,0.0,27,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,204,0,0,0,0,0,85,0,0,0,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,3,65,3.1,4.36619718309859e-07,9.15492957746479e-06,0,99724,7,23,0,0,0,3,0,9.2,4066,-4,0,65,4,0.4,0,3.0,3,0,7,0,3,0.9,59046,0,528,0,1,1767,778,0,1,235,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,1.6,3.2,1.9,2.5,2.6,2.2,2.2,4.0,2.4,2.3,2.1,2.2,2.0
Harry,Arter,MID,BOU,5000000,1,56,2.3,4.6e-07,1.12e-05,0,19467,7,46,0,0,0,1,0,11.2,442,0,0,56,0,0.5,0,2.7,2,0,6,0,2,0.3,21227,0,188,0,0,2046,422,0,1,364,West Brom,Man Utd,West Ham,Swansea,Southampton,1.2,1.4,1.4,1.9,1.2,1.2,1.5,1.2,2.1,1.8,1.9,2.7,1.6
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4399,0,0,0,0,0,0,0,0.0,27,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,612,0,0,0,0,0,16,0,0,0,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0133333333333333,3.0303030303030296e-09,2.2727272727272702e-07,0,603,0,0,0,0,0,0,0,0.2,10,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,512,0,0,0,0,10,3,0,0,3,Everton,Man City,Burnley,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125e-07,9.21875e-06,0,894743,1,7,0,0,0,6,0,9.2,2213,-1,0,59,1,0.0,0,0.0,10,0,6,0,1,1.9,869373,0,32,0,1,866,109,0,0,211,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0.0,0.0,0.0,0.0,0.0,5.7,4.3,5.9,3.4,6.7,4.8,4.3,5.8
Daniel,Ayala,DEF,MID,4800000,0,20,0.266666666666667,5.5555555555555594e-08,4.16666666666667e-06,0,10890,2,5,0,0,0,1,0,4.2,72,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.1,5978,0,0,0,0,390,43,0,0,91,Crystal Palace,Stoke,Man Utd,Swansea,Hull City,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,0,24,0.32,4.50704225352113e-08,3.38028169014085e-06,0,275588,0,9,0,0,0,1,0,3.4,159,-4,0,24,4,0.0,0,0.0,0,0,2,0,0,1.0,8489,0,524,0,0,501,97,0,0,60,Watford,Chelsea,Bournemouth,Leicester,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jordan,Ayew,FWD,SWA,5000000,1,1,0.0133333333333333,2.66666666666667e-09,2e-07,0,618,0,0,0,0,0,0,0,0.2,317,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0.1,2634,0,0,0,0,19,1065,0,0,0,Chelsea,Burnley,Hull City,Bournemouth,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar,Azpilicueta,DEF,CHE,6500000,2,116,4.6,7.076923076923079e-07,1.7846153846153798e-05,0,447200,3,18,0,0,0,0,0,17.8,18262,5,0,116,-5,0.3,0,2.0,16,0,13,0,2,19.0,682193,0,470,0,1,2250,5603,0,0,589,Swansea,West Ham,Stoke,Crystal Palace,Man City,6.0,5.6,0.0,5.3,6.2,5.7,5.4,4.1,6.7,4.4,5.9,5.2,5.7
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1345,0,0,0,0,0,0,0,0.0,30,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,304,0,138,0,0,0,15,0,0,0,Swansea,West Ham,Stoke,Crystal Palace,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,8,48,3.4,6.41509433962264e-07,9.0566037735849e-06,0,514892,3,11,0,0,0,0,0,9.1,2652,-2,0,48,2,0.9,0,4.7,9,0,5,0,0,6.0,212174,0,0,0,0,1098,5330,0,0,291,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,0.0,4.3,0.0,3.3,4.3,3.6,2.9,3.8,2.5,3.7,4.2,3.0,3.9
Leighton,Baines,DEF,EVE,5700000,6,93,4.9,8.596491228070179e-07,1.63157894736842e-05,0,496901,2,17,0,0,0,2,0,16.3,7133,2,0,93,-2,0.5,1,3.0,13,0,7,0,3,12.2,647184,0,212,0,1,1694,25237,0,0,400,Sunderland,Tottenham,West Brom,Hull City,Liverpool,6.2,4.8,7.3,7.2,5.7,4.5,6.3,7.2,5.9,6.6,5.5,6.5,5.9
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11764,0,0,0,0,0,0,0,0.0,62,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1875,0,0,0,0,0,42,0,0,0,Leicester,Arsenal,Burnley,Man City,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,0,9,0.12,2.44897959183673e-08,1.8367346938775502e-06,0,4796,0,2,0,0,0,0,0,1.8,351,-1,0,9,1,0.1,0,0.7,0,0,0,0,0,0.1,6618,0,0,0,0,84,145,0,0,26,Crystal Palace,Stoke,Man Utd,Swansea,Hull City,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3613,0,0,0,0,0,0,0,0.0,22,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2582,0,0,0,0,0,7,0,0,0,Crystal Palace,Stoke,Man Utd,Swansea,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,1,24,0.32,7.44186046511628e-08,5.58139534883721e-06,0,10249,3,11,0,0,0,0,0,5.6,232,-2,0,24,2,0.3,0,1.3,0,0,2,0,0,0.1,7587,0,107,0,0,898,25,0,0,133,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7100000,3,93,4.0,5.63380281690141e-07,1.30985915492958e-05,0,673513,3,22,0,0,0,4,0,13.1,8379,-4,-1,93,4,0.8,0,5.7,9,0,6,0,6,7.8,599426,0,654,0,1,1831,30918,1,0,345,Sunderland,Tottenham,West Brom,Hull City,Liverpool,5.6,2.3,4.4,5.6,2.0,3.5,5.5,5.8,2.6,3.8,3.5,5.4,2.5
Ashley,Barnes,FWD,BUR,4500000,2,50,0.666666666666667,1.48148148148148e-07,1.11111111111111e-05,0,101825,3,14,0,0,0,4,0,11.1,7193,0,0,50,0,0.9,0,4.0,5,0,3,0,2,3.5,232001,0,0,0,1,967,32778,0,0,158,Hull City,Swansea,Liverpool,Sunderland,Tottenham,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4
Antonio,Barragan,DEF,MID,4500000,0,57,2.9,6.44444444444444e-07,1.2666666666666699e-05,0,92770,5,21,0,0,0,0,0,12.7,4983,0,0,57,0,0.4,0,1.7,8,0,5,0,0,0.8,102510,0,0,0,0,1721,55,0,0,355,Crystal Palace,Stoke,Man Utd,Swansea,Hull City,0.0,2.8,0.0,2.3,2.6,2.7,3.5,3.7,2.8,2.9,2.4,3.6,3.1
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,118869,1,23,0,0,0,0,0,6.8,1793,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.7,111645,0,120,0,0,1145,26,0,0,136,Chelsea,Burnley,Hull City,Bournemouth,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4400000,1,54,2.5,5.68181818181818e-07,1.2272727272727302e-05,0,354964,6,23,0,0,0,2,0,12.3,5266,-1,0,54,1,0.2,0,1.0,3,0,5,0,1,3.7,374069,0,418,0,0,1590,1681,0,0,285,Sunderland,Tottenham,West Brom,Hull City,Liverpool,3.0,1.2,2.1,3.0,1.2,1.6,2.9,3.1,1.2,1.8,1.6,2.8,1.2
Joey,Barton,MID,BUR,4500000,4,19,0.253333333333333,5.62962962962963e-08,4.2222222222222194e-06,0,5566,1,4,0,0,0,1,0,4.2,816,0,0,19,0,0.9,0,4.0,0,0,1,0,2,0.3,18827,0,0,0,0,306,2339,0,0,90,Hull City,Swansea,Liverpool,Sunderland,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Borja,Baston,FWD,SWA,6700000,0,28,0.3733333333333329,5.5721393034825895e-08,4.17910447761194e-06,0,9822,0,11,0,0,0,1,0,4.2,57,-3,0,28,3,0.0,0,0.3,1,0,1,0,2,0.0,6516,0,0,0,0,510,46,0,0,70,Chelsea,Burnley,Hull City,Bournemouth,Middlesbrough,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,1,24,1.5,1.7647058823529398e-07,2.82352941176471e-06,0,129151,0,0,0,0,0,1,0,2.8,278,-5,0,24,5,0.1,0,0.7,1,0,0,0,1,0.9,60664,0,0,0,0,110,155,0,0,66,Swansea,West Ham,Stoke,Crystal Palace,Man City,1.3,0.9,0.0,0.8,1.1,1.1,0.8,0.8,1.2,0.8,1.0,0.8,1.4
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,6210,0,0,0,0,0,0,0,0.0,102,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1571,0,150,0,0,0,63,0,0,0,Swansea,West Ham,Stoke,Crystal Palace,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon,Behrami,MID,WAT,4500000,0,37,1.9,4.2222222222222205e-07,8.22222222222222e-06,0,16572,6,24,0,0,0,0,0,8.2,195,0,0,37,0,0.4,0,1.7,0,0,5,0,0,0.2,12531,0,127,0,0,1553,59,0,0,191,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,0.0,1.4,0.0,1.1,2.0,1.4,1.0,1.4,1.3,1.0,1.1,1.0,1.1
Hector,Bellerin,DEF,ARS,6500000,6,78,3.9,6e-07,1.2e-05,0,983882,1,21,0,0,0,0,0,12.0,6370,0,0,78,0,0.4,0,2.3,10,0,7,0,3,14.0,365322,0,541,0,1,1614,1866,0,0,352,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,4.7,0.0,4.3,4.4,5.4,4.9,3.9,4.4,3.6,3.6,4.4,4.6
Yohan,Benalouane,DEF,LEI,4000000,0,0,0.0,0.0,0.0,0,8174,0,0,0,0,0,0,0,0.0,51,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,1697,0,15,0,0,0,67,0,0,0,Liverpool,Hull City,West Ham,Stoke,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0.0,0.0,0.0,0,4290,0,0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,510,0,29,0,0,0,8,0,0,0,Stoke,Everton,Southampton,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saido,Berahino,FWD,STK,6000000,0,8,0.10666666666666699,1.77777777777778e-08,1.33333333333333e-06,0,52462,1,2,0,0,0,0,0,1.3,3207,-5,0,8,5,0.1,0,0.7,0,0,2,0,0,0.6,27889,0,226,0,0,300,1075,0,0,2,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,86,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,43,0,55,0,0,0,2,0,0,0,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo,DEF,MID,4300000,9,19,0.253333333333333,5.89147286821705e-08,4.41860465116279e-06,0,1301,2,7,0,0,0,0,0,4.4,182,-2,0,19,2,0.9,0,4.0,3,0,2,0,0,0.1,3580,0,0,0,0,540,2016,0,0,105,Crystal Palace,Stoke,Man Utd,Swansea,Hull City,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ryan,Bertrand,DEF,SOU,5400000,14,82,4.8,8.888888888888891e-07,1.51851851851852e-05,0,75315,2,20,0,0,0,1,0,15.2,4883,-1,0,82,1,1.3,0,7.0,8,0,8,0,4,1.7,104041,0,415,0,2,1517,13216,0,0,353,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0.0,4.6,0.0,4.6,7.1,6.6,5.4,6.1,4.9,7.1,5.5,5.0,7.0
Muhamed,Besic,MID,EVE,4300000,0,0,0.0,0.0,0.0,0,1267,0,0,0,0,0,0,0,0.0,28,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,588,0,75,0,0,0,37,0,0,0,Sunderland,Tottenham,West Brom,Hull City,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daley,Blind,DEF,MUN,5200000,6,79,4.6,8.846153846153851e-07,1.51923076923077e-05,0,418748,2,13,0,0,0,1,0,15.2,10564,-3,0,79,3,1.0,0,5.0,12,0,7,0,2,4.9,453108,0,477,0,1,1395,4344,0,0,417,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,0.0,6.5,0.0,5.2,6.4,5.6,4.6,5.7,4.1,5.6,6.0,4.8,5.9
